"","A1","A2","A3","A4","A5","C1","C2","C3","C4","C5","E1","E2","E3","E4","E5","N1","N2","N3","N4","N5","O1","O2","O3","O4","O5","gender","education","age"
"64572",4,4,1,2,2,4,4,6,3,4,2,5,4,2,5,6,6,4,6,4,6,1,4,5,3,2,5,26
"64573",4,4,3,3,4,4,3,5,4,5,4,4,4,3,5,2,2,3,2,2,5,1,5,6,2,1,4,41
"64577",3,2,4,4,4,6,5,4,3,1,4,3,4,5,4,3,4,4,4,4,4,2,4,6,4,1,1,19
"64579",4,1,1,1,3,3,4,1,4,5,6,6,4,1,2,6,6,5,5,5,6,2,1,6,3,2,1,20
"64581",6,4,6,6,5,6,5,5,1,1,5,1,2,5,5,6,4,4,2,2,4,1,5,6,5,2,5,44
"64583",1,6,6,6,5,2,3,3,1,4,3,2,4,6,3,1,3,1,2,4,5,2,5,5,1,2,3,27
"64585",3,5,5,6,NA,5,5,5,2,2,2,2,5,6,6,2,3,2,2,6,4,5,5,4,2,2,4,33
"64586",1,4,4,4,4,4,4,5,3,4,4,4,2,2,3,2,3,3,4,3,5,2,5,5,2,2,5,40
"64588",6,3,4,1,5,6,5,3,5,3,1,2,4,6,6,6,6,6,6,5,6,3,5,5,3,2,NA,17
"64591",1,5,4,3,4,6,6,5,2,5,4,5,1,4,4,2,4,4,4,5,4,2,4,6,2,2,3,20
"64593",2,5,5,4,4,4,5,5,2,3,3,3,4,4,4,2,2,2,3,3,4,2,4,4,3,2,2,25
"64595",4,2,4,4,2,3,4,4,3,4,5,4,2,3,4,1,3,1,4,2,4,3,4,4,2,1,3,18
"64600",1,6,5,5,6,1,5,1,2,5,1,1,5,6,4,1,1,1,2,5,6,5,5,6,6,2,3,22
"64603",2,4,4,5,3,6,4,4,2,5,3,3,2,5,3,2,3,3,2,1,6,4,4,6,2,1,2,27
"64605",5,4,5,2,5,6,5,4,1,6,2,5,6,2,6,6,6,6,5,6,6,1,6,6,1,2,1,18
"64606",1,6,5,2,5,3,4,2,4,5,1,1,4,6,4,4,5,3,5,4,6,2,5,6,1,2,4,24
"64607",4,5,4,6,6,6,5,4,2,3,3,2,4,6,5,2,2,2,2,2,3,2,3,4,2,1,5,35
"64612",1,5,5,6,5,4,5,4,3,4,2,3,5,5,6,3,3,3,4,1,6,2,6,5,1,1,5,40
"64614",1,6,5,5,5,2,3,3,2,NA,5,3,5,3,5,1,1,2,4,2,5,1,4,5,2,2,4,29
"64618",2,4,6,6,6,3,4,4,3,3,2,5,6,6,5,4,4,4,4,5,5,3,6,6,2,2,4,24
"64620",3,6,3,5,4,2,5,5,2,5,2,2,4,5,5,5,6,6,5,5,6,2,4,5,5,2,NA,14
"64621",3,6,3,6,1,6,6,5,1,1,1,1,1,2,6,3,4,3,4,5,5,4,1,4,5,2,4,54
"64622",1,5,5,4,2,2,6,6,4,4,2,5,1,3,5,3,4,2,6,4,5,2,2,6,3,2,4,29
"64623",3,5,6,6,5,4,4,4,3,6,1,4,5,5,5,5,5,4,3,3,6,1,3,6,1,1,3,26
"64626",1,6,5,4,5,5,5,4,3,4,3,2,3,5,5,2,2,2,1,2,5,2,4,5,2,2,3,26
"64627",2,4,3,4,4,5,5,6,1,3,3,4,4,4,3,2,5,4,2,4,5,2,4,3,2,2,4,26
"64630",2,6,6,6,6,4,6,6,1,1,2,2,4,5,5,1,4,2,3,2,5,2,4,4,2,2,3,39
"64634",3,3,2,4,3,4,1,2,4,4,4,6,2,2,3,6,6,5,5,3,3,4,2,5,4,2,1,18
"64636",5,6,3,6,3,5,5,6,1,1,5,2,3,5,5,2,3,3,2,2,5,4,3,5,2,2,2,28
"64638",3,2,4,2,2,3,2,6,2,5,5,6,3,2,1,3,4,4,5,4,2,1,2,5,3,2,NA,16
"64639",1,6,5,4,5,4,4,6,2,5,4,4,4,5,4,1,4,6,2,1,4,4,3,6,4,1,5,27
"64642",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,23
"64648",1,6,6,5,5,6,6,5,1,2,1,2,4,5,6,4,5,4,2,4,6,1,5,5,1,2,3,32
"64652",1,6,6,6,6,5,5,5,1,4,1,1,6,6,5,1,1,2,2,2,6,1,6,6,1,1,5,56
"64656",4,6,5,5,6,6,6,4,3,4,2,2,5,5,5,3,3,5,2,5,6,2,5,6,3,2,3,19
"64658",2,5,4,NA,5,5,3,5,3,5,6,6,2,1,5,2,2,4,4,2,5,3,4,6,3,2,4,26
"64660",2,5,5,6,5,5,6,6,1,1,5,4,3,4,5,4,5,5,6,6,5,6,4,6,5,2,4,41
"64661",2,4,4,4,4,5,5,4,1,2,4,4,4,2,4,1,1,1,1,1,6,1,5,6,1,1,5,67
"64664",4,5,3,4,2,5,5,6,1,4,6,5,1,1,5,4,4,2,4,1,6,1,2,6,2,1,2,36
"64665",1,5,5,5,5,4,4,6,2,4,2,1,4,6,5,5,4,4,4,3,4,2,5,6,2,2,5,32
"64668",3,3,2,2,3,3,5,4,3,5,6,6,1,2,2,1,3,4,6,5,6,2,4,6,2,2,4,21
"64669",2,5,3,3,2,6,5,6,2,5,6,6,4,2,1,2,3,4,4,4,3,2,2,6,4,2,3,18
"64670",2,4,3,2,3,5,5,4,2,4,4,5,3,3,3,5,5,5,5,4,6,1,3,6,1,2,5,29
"64671",2,4,4,5,3,3,3,5,3,4,2,3,4,4,5,5,5,5,2,3,3,5,3,4,2,2,3,26
"64673",2,3,1,1,4,6,6,4,2,6,5,5,2,1,1,2,4,4,5,1,6,2,1,6,5,2,3,19
"64675",1,4,5,2,2,3,2,2,4,5,4,5,3,2,2,2,3,2,4,1,3,2,5,5,2,1,NA,16
"64679",4,5,3,4,4,5,4,5,2,3,2,3,4,4,5,3,2,2,4,2,5,2,5,5,2,1,4,32
"64680",1,5,5,6,4,5,5,5,3,6,5,5,3,4,6,4,4,4,5,4,4,2,6,5,2,2,3,18
"64682",2,4,6,6,5,5,4,4,2,1,3,2,6,5,5,1,2,1,4,2,6,4,5,2,2,2,3,19
"64683",3,2,2,6,5,5,2,6,1,1,5,1,6,6,6,1,1,1,1,1,6,1,6,6,1,1,5,63
"64685",1,5,5,6,6,6,6,6,1,1,1,1,2,6,6,1,2,2,2,1,6,1,6,5,2,2,5,27
"64686",5,4,4,3,1,4,5,1,5,6,6,6,1,4,1,4,4,3,5,6,2,5,3,6,3,2,3,20
"64688",2,5,3,5,5,5,3,5,2,4,4,6,2,2,4,3,5,1,2,4,5,2,5,6,2,2,3,54
"64689",4,4,5,3,4,1,1,4,6,5,6,6,1,2,2,2,4,2,6,2,2,5,4,3,3,1,5,25
"64693",4,5,3,4,3,4,2,5,5,5,5,4,3,3,4,4,5,5,4,3,4,4,3,4,4,1,4,46
"64696",1,5,5,6,4,5,5,5,2,1,4,3,3,4,4,1,2,2,2,NA,4,2,2,4,2,2,5,51
"64697",1,3,3,5,3,5,5,6,2,1,6,5,1,2,5,2,4,3,3,2,3,4,2,3,3,2,5,38
"64698",5,6,6,6,5,5,5,4,1,4,1,1,5,6,6,1,2,4,1,2,6,1,5,6,2,2,3,32
"64702",1,4,3,6,4,6,6,4,1,2,2,5,5,2,4,3,3,3,4,1,5,2,5,5,1,1,4,24
"64706",2,3,4,6,5,4,4,4,2,2,5,2,3,2,4,3,2,3,2,1,4,3,5,6,2,2,1,54
"64707",4,4,2,1,3,5,4,2,3,5,4,6,2,2,3,2,3,5,3,2,6,1,4,6,1,1,4,38
"64709",3,6,5,6,5,5,5,6,3,1,2,1,3,6,5,4,3,4,2,6,4,4,3,4,4,2,3,29
"64712",4,5,5,5,6,3,5,3,5,6,6,6,6,1,4,1,4,2,5,1,6,6,5,6,3,1,5,24
"64714",1,5,4,6,4,3,2,2,4,5,3,2,5,5,4,4,5,4,3,3,4,2,4,6,4,2,5,23
"64715",6,2,4,6,3,4,4,5,5,5,6,6,2,3,NA,5,5,5,4,1,5,2,3,6,4,1,1,25
"64716",2,6,6,6,6,4,3,4,4,5,4,2,6,6,3,4,2,3,4,1,6,2,6,5,2,1,2,19
"64718",2,4,2,4,4,2,5,2,2,6,2,5,1,3,2,3,6,4,4,4,2,3,1,2,5,2,3,28
"64720",1,6,6,6,5,5,3,5,1,1,1,3,5,4,6,2,5,4,1,2,5,1,5,5,3,2,3,20
"64724",3,6,6,4,3,1,6,6,1,1,1,1,5,3,1,1,6,2,2,3,5,4,6,4,2,2,3,29
"64725",1,4,5,5,5,5,3,4,6,4,5,6,5,2,4,4,4,5,5,3,5,2,2,6,5,2,3,16
"64727",3,4,4,4,4,4,5,5,5,5,4,3,3,4,4,6,6,5,5,6,4,5,5,5,4,2,2,23
"64729",4,5,1,2,2,5,4,4,2,6,2,3,5,2,5,6,6,6,4,6,4,3,3,4,3,2,2,23
"64730",2,6,4,6,5,5,5,5,1,4,1,2,4,6,6,5,4,4,1,4,NA,2,4,6,2,2,3,20
"64733",3,5,5,4,5,3,2,2,4,6,2,2,5,6,5,4,3,2,3,2,6,2,5,5,2,2,3,19
"64735",2,5,4,6,3,5,3,4,3,4,2,4,2,2,6,5,5,2,4,1,6,1,6,6,1,2,NA,13
"64737",1,5,2,4,2,5,4,4,4,6,5,NA,2,2,2,1,2,3,4,NA,5,5,3,6,3,1,3,20
"64738",4,5,4,3,3,5,2,4,5,5,4,5,2,5,2,6,6,6,5,5,4,4,5,6,4,2,3,27
"64739",5,4,2,2,3,4,4,6,3,5,5,6,2,3,2,1,2,1,2,1,3,4,4,6,2,1,3,21
"64742",2,6,5,4,6,5,4,5,5,5,1,2,5,5,5,2,5,2,1,2,6,4,5,1,2,2,1,16
"64744",2,5,5,5,5,5,5,5,2,3,1,2,5,5,5,2,3,3,4,4,5,4,4,5,2,2,4,28
"64747",1,5,4,4,4,4,3,4,2,2,3,3,3,3,4,2,4,2,2,2,3,2,5,6,2,2,3,33
"64753",4,6,5,5,5,3,2,1,5,6,2,6,1,1,1,6,6,6,6,6,4,2,2,6,3,2,3,27
"64754",2,5,6,6,5,3,4,2,2,2,2,2,5,5,5,2,2,1,1,2,3,3,5,2,2,2,3,52
"64758",1,4,5,3,4,4,5,4,2,4,4,5,2,3,3,3,4,2,5,4,4,3,4,4,2,2,5,36
"64759",1,5,5,4,5,5,6,5,2,2,4,5,2,4,3,2,3,2,5,3,4,2,4,5,2,2,5,36
"64763",1,6,6,5,4,5,5,4,2,4,1,3,5,5,4,5,4,5,4,5,6,3,5,6,2,2,5,29
"64768",2,4,5,6,5,6,6,5,4,1,1,1,3,6,6,2,2,4,1,1,5,1,5,5,6,2,3,20
"64769",5,2,2,6,6,6,5,5,5,2,2,NA,5,5,2,1,2,1,2,1,5,5,4,5,NA,2,5,35
"64770",2,4,4,1,3,5,6,5,1,3,4,4,3,4,4,5,6,1,6,1,3,1,5,6,1,1,4,37
"64771",1,6,5,5,6,5,3,5,1,4,1,2,4,5,4,2,4,2,2,2,5,2,5,5,2,2,5,42
"64772",3,4,5,4,5,4,3,3,3,5,1,2,4,4,6,4,3,2,4,2,6,1,6,6,1,1,3,19
"64773",2,6,5,5,6,4,4,4,3,4,4,3,5,5,5,2,4,4,5,3,5,3,5,5,3,1,4,30
"64774",2,5,4,1,6,5,3,5,4,5,2,3,6,4,4,2,3,3,3,1,6,4,6,5,1,1,3,18
"64780",1,4,5,NA,5,4,1,6,5,3,1,1,NA,6,4,6,6,5,2,6,3,3,NA,5,5,2,NA,9
"64804",2,5,5,6,3,4,5,5,1,2,5,3,2,3,5,3,4,4,3,4,5,2,3,5,3,2,4,27
"64807",4,6,6,6,5,6,6,5,1,1,3,1,4,6,6,6,6,3,1,1,5,3,6,6,1,1,2,18
"64810",4,2,1,4,1,3,2,1,2,1,6,6,2,1,5,1,1,1,1,1,5,1,6,4,1,1,2,24
"64814",2,4,2,2,4,2,2,4,2,5,5,6,3,2,2,1,2,1,2,1,4,1,5,6,1,2,3,20
"64815",5,3,2,2,3,5,3,5,3,4,4,4,4,3,3,4,4,4,3,4,4,3,3,4,3,2,NA,14
"64817",5,4,4,6,4,6,6,3,2,2,2,2,4,6,4,4,4,5,1,1,4,1,2,4,4,2,3,21
"64819",4,4,4,5,4,4,4,4,2,4,4,4,4,4,4,4,5,5,2,3,4,3,4,4,2,2,3,21
"64822",2,6,6,6,5,5,5,5,1,3,2,2,5,6,4,1,1,1,2,1,5,1,4,4,2,2,5,66
"64824",2,5,5,6,6,5,5,2,2,2,2,2,5,6,4,1,1,4,5,4,5,5,5,5,2,2,1,22
"64825",4,5,4,5,4,5,5,6,1,1,2,1,3,5,5,3,2,2,4,5,5,4,4,4,4,1,1,49
"64826",4,5,NA,6,5,6,5,4,3,4,3,4,4,5,5,5,5,5,4,3,5,3,5,5,4,2,3,42
"64830",2,1,4,2,4,6,6,5,6,3,5,5,6,4,2,4,2,6,2,2,5,1,5,6,1,2,4,19
"64831",2,1,4,1,4,6,6,5,6,3,5,5,6,3,2,2,2,6,2,2,5,1,5,6,1,2,4,19
"64835",1,5,6,5,6,1,1,1,6,6,6,6,6,5,2,6,5,6,6,6,6,1,6,6,1,2,5,32
"64838",1,6,6,5,6,5,5,5,2,4,1,1,6,6,5,2,3,4,3,2,4,1,6,4,1,2,3,29
"64839",6,6,1,6,5,2,3,4,3,1,1,2,6,1,6,3,4,3,1,2,6,1,6,6,1,2,4,31
"64842",3,6,6,5,6,5,6,1,3,6,3,2,6,6,6,3,6,1,5,1,6,1,6,6,1,1,2,21
"64843",2,6,6,5,5,5,5,4,2,2,2,2,5,5,6,1,2,2,2,1,6,2,5,5,1,2,2,27
"64844",4,2,5,6,1,6,2,1,4,6,1,2,4,5,4,6,6,6,1,5,5,6,3,5,4,2,3,23
"64845",1,5,5,4,4,5,5,4,3,4,4,2,4,4,4,2,2,4,4,4,5,2,5,6,1,2,3,20
"64846",2,6,4,1,5,5,4,3,2,4,4,5,3,4,4,2,5,3,2,3,5,5,3,2,4,2,2,57
"64847",4,5,4,2,6,6,6,6,2,2,5,2,5,4,5,2,3,4,5,4,6,1,6,6,3,2,2,38
"64849",1,3,5,5,5,3,3,4,4,4,5,4,6,5,3,1,4,2,5,4,5,2,6,5,1,2,2,18
"64850",2,5,4,5,4,5,5,4,5,5,3,6,4,5,4,6,6,6,6,6,4,5,5,4,4,1,2,23
"64852",1,6,4,4,5,5,5,6,2,1,4,2,4,6,4,2,5,5,3,1,4,4,4,6,3,2,3,34
"64857",1,4,3,6,5,5,4,2,4,5,5,5,1,1,5,6,5,5,6,4,6,3,4,6,1,1,4,67
"64861",4,6,4,5,5,5,4,2,2,6,1,1,5,6,6,4,5,6,3,5,5,4,4,5,4,2,3,30
"64865",2,5,3,4,4,5,5,3,3,3,2,4,4,3,6,4,4,3,4,3,6,2,6,5,1,2,5,31
"64866",1,5,2,4,2,6,4,5,1,2,5,6,1,1,2,2,1,2,4,4,6,2,5,6,1,1,4,54
"64874",2,4,3,5,4,4,4,6,2,1,5,2,4,5,4,1,2,1,2,1,5,2,5,2,5,1,5,32
"64876",2,5,6,6,5,6,5,3,1,5,3,1,5,6,NA,3,6,4,2,3,5,1,4,5,1,2,3,47
"64877",2,4,4,4,2,6,6,5,1,2,2,1,4,5,5,2,3,5,6,2,6,4,4,6,1,2,3,20
"64880",4,2,1,1,2,1,2,1,5,6,6,6,4,1,1,6,6,4,6,6,5,3,1,6,4,2,1,20
"64886",2,5,6,5,6,6,5,6,1,1,2,1,4,5,6,5,5,5,2,3,6,2,5,5,1,2,3,34
"64887",3,5,4,4,4,5,5,4,2,5,2,4,2,5,6,5,6,4,3,3,5,1,5,6,2,2,NA,14
"64888",3,3,2,5,2,5,5,1,4,6,3,5,5,4,5,6,6,6,5,NA,6,3,4,6,4,2,2,32
"64890",4,5,5,5,4,4,3,5,3,2,1,1,5,5,5,1,1,3,4,1,6,1,6,5,1,1,3,27
"64891",4,4,5,2,6,5,2,4,3,6,5,6,5,2,5,6,6,5,4,4,5,3,5,6,1,1,3,19
"64894",4,4,5,1,5,3,5,2,2,5,1,2,5,5,4,1,2,4,1,2,4,5,3,4,NA,2,3,20
"64898",1,4,5,6,4,4,5,5,2,6,3,3,4,4,4,2,3,1,2,1,5,3,4,5,3,1,3,21
"64902",5,2,4,3,3,2,1,4,4,3,2,2,4,5,3,4,4,6,2,1,4,1,5,4,2,2,3,23
"64907",3,5,2,4,5,5,4,5,3,2,4,5,2,2,5,1,1,1,1,1,6,2,5,5,1,1,4,42
"64912",1,6,5,6,4,4,3,2,4,5,1,2,5,6,5,5,5,5,4,4,4,4,5,5,2,2,3,27
"64914",2,6,5,3,5,5,2,3,6,5,4,5,4,4,5,5,4,5,4,4,5,6,5,5,5,1,3,19
"64915",3,5,4,6,5,5,5,3,2,4,3,3,4,6,4,6,6,4,3,3,5,2,4,6,3,2,3,21
"64917",1,6,6,5,5,NA,5,5,3,4,5,4,5,2,3,2,4,2,2,5,4,4,5,6,3,2,5,47
"64918",1,5,5,6,5,4,5,2,3,4,5,4,2,3,3,2,4,4,3,4,4,2,2,5,4,2,5,58
"64919",1,5,3,4,4,6,6,6,1,6,1,6,3,1,4,6,6,6,6,6,6,3,5,6,4,2,3,20
"64920",3,4,5,6,3,6,6,5,1,2,3,1,5,5,5,2,2,2,1,1,6,2,5,2,1,1,3,29
"64921",3,6,6,3,6,2,3,3,4,4,2,2,5,4,5,4,5,5,2,2,4,4,5,5,2,2,3,18
"64926",4,5,2,1,4,5,2,2,3,6,2,3,4,5,5,4,5,2,4,6,5,1,5,2,2,2,1,18
"64931",5,6,5,3,6,5,6,4,2,4,2,4,4,4,6,1,2,1,3,4,5,5,3,4,4,2,2,21
"64936",1,6,5,6,6,6,5,5,2,5,4,2,5,6,5,4,5,4,4,6,6,3,6,6,2,2,5,36
"64937",4,4,5,2,5,5,6,4,3,2,3,2,5,5,5,2,4,4,3,2,5,3,4,4,3,2,3,18
"64938",1,6,6,6,6,5,5,5,1,4,2,1,5,6,5,2,4,1,1,1,5,5,6,6,2,2,5,53
"64939",4,5,6,5,6,3,2,2,3,6,6,4,4,5,4,5,4,5,5,2,4,6,1,6,6,1,4,23
"64940",4,3,3,2,2,4,3,5,2,2,5,5,2,3,3,2,5,6,3,5,2,4,2,3,5,2,3,19
"64944",6,4,5,6,5,4,6,6,5,4,1,2,1,5,4,5,6,5,2,4,6,5,5,5,3,1,3,22
"64946",6,NA,6,4,5,6,4,5,6,3,4,4,6,6,3,6,4,6,2,5,4,4,3,6,5,2,2,19
"64949",1,5,5,4,6,6,6,5,2,1,4,1,5,5,5,1,1,3,3,3,6,1,6,5,2,2,3,20
"64950",3,3,3,4,4,4,3,3,4,5,2,3,4,4,4,3,4,2,4,2,4,3,6,6,2,2,4,24
"64952",1,6,4,3,5,4,5,4,2,5,2,2,4,5,4,2,3,4,2,2,4,1,5,4,2,2,2,23
"64953",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,3,20
"64954",1,6,6,3,6,6,5,5,2,5,2,2,5,5,5,5,6,5,5,5,4,2,4,6,1,2,4,33
"64958",5,6,6,1,6,5,6,5,NA,6,1,5,5,5,5,2,3,6,6,4,6,2,5,6,2,1,1,16
"64960",1,6,6,6,6,5,5,3,5,5,5,2,4,5,6,2,2,5,2,1,5,3,5,6,2,1,1,17
"64961",1,4,3,3,4,5,4,5,2,4,2,4,4,2,3,2,2,2,4,1,6,2,6,6,1,2,3,21
"64962",1,6,6,1,1,5,6,6,4,6,1,6,6,1,6,6,6,6,6,6,6,6,4,6,1,2,5,31
"64963",3,4,4,4,4,6,5,4,1,1,3,4,5,5,5,1,1,1,1,1,5,2,5,4,2,2,2,57
"64967",1,6,6,6,6,5,6,2,5,2,5,2,5,6,6,2,5,4,4,4,5,2,6,6,2,2,3,20
"64968",6,5,5,6,6,5,6,6,5,6,3,6,5,6,6,5,6,4,5,5,5,6,5,6,2,2,2,19
"64969",6,5,5,6,6,5,6,6,5,1,3,6,5,6,6,5,1,4,5,5,5,1,5,6,2,2,2,19
"64970",6,2,5,6,6,5,6,3,5,1,3,6,5,6,2,5,1,4,5,5,5,1,5,6,2,2,2,19
"64971",6,2,5,6,6,5,6,6,1,1,3,6,5,6,2,1,1,4,2,5,5,1,5,6,2,2,2,19
"64975",6,2,5,6,6,5,4,6,1,1,3,6,5,6,2,1,1,4,2,5,5,1,5,6,2,2,2,19
"64978",6,2,5,6,6,5,4,6,1,1,3,6,5,6,2,1,1,4,2,3,5,1,3,6,2,2,2,19
"64979",6,2,5,6,6,5,4,6,1,1,3,6,5,6,2,1,1,4,2,6,5,1,6,6,2,2,2,19
"64980",6,2,5,6,6,5,4,6,1,1,3,6,5,6,2,1,1,1,2,6,5,1,6,1,2,2,2,19
"64981",6,2,5,6,6,5,4,6,1,1,3,6,5,6,2,1,1,6,2,6,5,1,6,6,2,2,2,19
"64982",6,2,5,6,6,5,4,6,1,1,3,1,5,6,2,1,1,6,2,6,5,1,6,6,2,2,2,19
"64984",3,4,4,1,4,5,4,5,4,3,4,3,3,3,5,1,2,2,2,3,4,3,2,2,5,2,3,19
"64987",1,5,1,6,2,5,5,5,3,5,4,6,1,3,4,5,5,6,5,5,4,3,5,5,5,1,5,42
"64990",2,5,5,5,2,5,6,5,4,4,1,6,5,5,6,6,6,6,6,6,4,4,6,2,6,2,5,46
"64991",2,5,5,6,5,5,6,6,4,2,1,3,3,5,6,5,4,5,3,6,6,4,NA,6,2,2,2,20
"64992",2,5,4,4,4,4,4,5,3,3,4,4,4,4,2,3,3,4,2,4,4,4,4,4,3,2,3,20
"64993",4,5,4,4,3,4,3,3,2,4,2,4,4,2,5,5,5,5,6,2,4,2,5,5,4,2,4,20
"64996",1,1,4,6,6,6,6,4,1,1,5,2,NA,6,5,1,2,4,1,1,4,1,4,1,3,2,3,21
"64997",3,6,5,6,6,6,5,5,1,2,3,2,5,5,6,1,2,1,1,2,6,3,4,4,2,1,2,25
"65017",4,5,4,4,4,5,5,4,2,3,2,4,4,5,5,2,2,5,4,3,4,5,4,5,2,2,2,19
"65018",1,6,6,4,5,3,2,5,4,2,1,2,5,3,6,1,1,2,NA,2,5,2,6,6,1,2,5,52
"65020",5,5,NA,5,4,5,5,5,2,5,5,4,1,4,6,2,4,2,2,2,3,4,4,4,2,1,3,20
"65022",4,4,4,4,3,4,4,4,3,2,3,4,1,2,5,2,2,2,2,2,4,3,5,6,4,2,3,19
"65025",2,5,5,6,5,5,5,5,1,1,3,2,5,5,6,1,1,1,2,2,6,4,4,4,5,1,3,34
"65026",5,4,3,4,3,4,2,2,3,2,6,4,4,4,2,2,4,1,4,2,6,1,4,6,1,1,3,29
"65027",4,4,4,5,5,4,4,4,2,5,2,2,5,4,5,2,1,2,2,2,3,3,3,2,2,2,2,36
"65028",4,1,5,2,5,6,5,2,2,3,6,4,5,3,3,4,5,4,5,2,6,1,6,6,2,1,1,18
"65033",3,5,3,6,4,4,3,2,2,5,2,4,3,3,2,1,1,5,4,2,4,3,2,3,3,1,3,25
"65041",3,5,1,4,4,4,4,4,2,2,3,4,4,4,3,2,4,5,3,5,3,2,4,4,4,2,3,30
"65042",2,4,6,5,5,5,5,5,5,1,2,2,6,5,6,3,2,3,2,2,6,2,5,5,2,1,5,32
"65044",2,4,4,6,4,5,6,1,4,6,4,4,1,4,4,6,6,5,5,3,2,5,6,6,4,2,3,32
"65047",3,2,2,2,4,5,5,5,3,2,2,2,5,5,5,2,3,2,3,1,6,2,5,6,2,2,1,16
"65049",5,3,1,1,3,5,2,5,3,5,3,5,4,3,4,4,5,2,3,4,3,3,3,6,3,2,3,19
"65050",1,6,4,6,4,6,6,5,2,1,1,4,5,5,5,4,4,4,4,5,6,1,6,6,3,1,5,29
"65052",1,5,5,6,3,5,4,2,2,NA,1,4,4,5,4,3,5,3,2,2,4,1,6,6,1,2,4,30
"65054",2,5,4,6,4,5,3,4,3,3,3,3,4,5,4,2,2,2,4,3,3,3,4,5,4,2,3,27
"65056",2,6,5,6,5,5,5,5,5,4,3,2,2,4,5,4,3,5,6,2,6,1,6,6,1,2,5,41
"65058",3,4,3,1,3,4,3,4,3,4,1,3,4,1,5,4,4,3,4,4,6,1,6,6,1,2,4,28
"65059",5,4,5,4,4,4,4,5,2,3,4,3,3,4,4,2,2,1,3,1,5,2,5,6,2,1,5,26
"65060",2,5,6,6,6,5,5,5,5,1,3,NA,6,4,6,2,2,1,1,3,6,4,6,6,3,1,5,35
"65061",4,4,5,6,2,5,5,5,2,5,4,4,5,6,5,5,6,5,5,1,5,1,6,6,2,2,4,43
"65070",2,5,6,5,5,4,4,6,2,4,3,6,3,2,5,5,6,3,4,2,4,1,5,6,2,2,5,37
"65071",1,5,5,5,NA,1,6,6,4,5,4,6,1,5,4,4,6,6,6,5,5,6,6,6,5,1,5,23
"65075",1,6,6,6,6,6,6,6,1,1,5,1,5,5,6,1,1,5,6,1,5,1,5,5,4,1,5,20
"65078",3,6,NA,6,4,6,5,6,1,6,4,3,4,NA,6,4,3,4,5,4,6,4,4,6,2,2,2,24
"65079",2,6,5,6,5,6,6,6,1,1,5,1,5,6,6,1,1,1,6,1,5,1,5,5,1,1,5,21
"65080",3,4,2,4,1,6,6,5,1,1,6,6,1,2,5,2,4,2,2,5,4,2,2,6,1,2,4,22
"65081",1,5,5,5,5,4,4,4,3,6,2,3,4,4,5,1,1,5,4,3,5,2,6,6,1,2,3,20
"65082",4,4,5,5,6,5,5,4,2,3,4,5,5,3,4,1,2,3,3,2,6,2,4,5,3,2,3,27
"65083",1,5,4,5,4,6,5,6,2,4,5,5,2,5,5,3,3,2,2,1,4,4,4,6,2,2,2,55
"65084",1,4,4,3,6,5,4,4,4,4,3,6,2,5,5,3,5,2,2,3,2,4,5,6,1,2,3,39
"65086",2,4,4,2,6,3,3,5,5,5,3,1,4,5,3,4,6,6,6,2,6,3,5,6,3,2,5,31
"65087",2,5,2,1,2,6,6,3,1,1,1,2,5,5,6,1,1,2,1,1,6,1,6,6,1,2,5,33
"65088",2,5,4,5,5,5,5,5,1,2,3,2,5,5,5,2,2,2,2,4,5,3,5,5,1,2,4,24
"65091",2,4,4,3,4,5,4,3,3,4,3,4,5,4,3,3,4,4,3,4,6,4,6,NA,3,2,4,22
"65092",2,4,4,4,5,5,4,4,2,5,4,4,3,3,5,4,3,2,3,2,5,2,4,5,2,1,3,50
"65096",3,6,5,6,5,4,4,4,2,2,1,2,5,6,5,1,1,2,1,4,5,1,5,5,5,1,4,22
"65097",1,6,6,6,6,5,4,4,3,4,1,1,6,6,4,1,1,1,1,3,6,4,6,6,6,2,3,52
"65099",2,4,4,5,3,4,4,2,5,5,3,3,3,5,4,4,4,4,4,4,3,3,3,5,3,2,5,32
"65100",2,4,3,3,3,4,3,4,2,5,5,4,3,2,3,1,2,1,3,1,3,2,3,5,3,1,5,25
"65101",4,3,5,3,4,4,3,3,3,3,3,4,4,5,3,4,4,5,1,5,2,4,3,5,4,2,3,23
"65105",3,3,4,3,5,6,4,4,5,6,2,5,4,5,4,4,4,4,4,4,4,4,5,6,4,2,2,19
"65108",1,5,5,6,5,5,5,6,4,2,1,1,4,6,5,1,2,2,2,4,5,1,6,6,2,2,5,33
"65109",2,3,4,5,5,4,4,2,4,2,2,3,4,5,4,3,3,2,2,2,6,1,5,5,3,1,4,46
"65111",1,5,NA,5,5,6,5,5,2,4,4,3,2,2,5,4,5,5,5,2,3,2,5,6,1,2,5,51
"65114",1,6,2,5,2,5,4,1,4,6,5,6,1,2,1,4,5,5,6,2,2,4,5,6,2,2,4,37
"65117",1,2,3,4,2,5,4,4,4,4,4,5,3,2,4,2,2,2,2,2,4,3,5,6,4,2,3,19
"65121",2,4,6,5,1,NA,6,5,5,4,3,2,5,5,5,3,3,3,NA,4,6,3,6,4,2,1,2,20
