"","id","year","stint","team","lg","g","ab","r","h","X2b","X3b","hr","rbi","sb","cs","bb","so","ibb","hbp","sh","sf","gidp"
"36956","grothjo01",1954,1,"CHA","AL",125,422,41,116,20,0,7,60,3,9,42,37,NA,2,8,3,19
"36959","hattogr01",1954,2,"CHA","AL",13,30,3,5,1,0,0,3,1,0,5,3,NA,0,0,1,1
"36960","hattogr01",1954,3,"BOS","AL",99,302,40,85,12,3,5,33,1,1,58,25,NA,2,3,1,6
"36962","heganji01",1954,1,"CLE","AL",139,423,56,99,12,7,11,40,0,1,34,48,NA,0,7,4,15
"36963","heldwo01",1954,1,"NYA","AL",4,3,2,0,0,0,0,0,0,0,2,1,NA,0,0,0,0
"36964","henrybi01",1954,1,"BOS","AL",25,34,2,4,0,0,0,3,0,0,3,7,NA,0,0,0,0
"36965","herbera01",1954,1,"DET","AL",42,17,5,3,0,1,1,3,0,0,2,4,NA,0,0,0,1
"36968","hoeftbi01",1954,1,"DET","AL",35,52,5,10,6,0,0,6,0,0,10,24,NA,0,0,1,1
"36982","joosted01",1954,1,"PHA","AL",19,47,7,17,3,0,1,9,0,1,10,10,NA,0,0,0,4
"36983","kalinal01",1954,1,"DET","AL",138,504,42,139,18,3,4,43,9,5,22,45,NA,0,7,2,21
"36986","kellge01",1954,1,"BOS","AL",26,93,15,24,3,0,0,10,0,0,15,3,NA,0,1,0,2
"36987","kellge01",1954,2,"CHA","AL",71,233,25,66,10,0,5,48,1,1,18,12,NA,0,1,9,5
"36990","kennebo01",1954,1,"CLE","AL",1,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"36991","kennebo01",1954,2,"BAL","AL",106,323,37,81,13,2,6,45,2,1,28,43,NA,0,3,5,16
"36994","killeha01",1954,1,"WS1","AL",9,13,1,4,1,0,0,3,0,0,2,3,NA,0,0,0,1
"37005","kuennha01",1954,1,"DET","AL",155,656,81,201,28,6,5,48,9,9,29,13,NA,1,6,4,19
"37006","kuzavbo01",1954,1,"NYA","AL",20,6,0,0,0,0,0,0,0,0,1,4,NA,0,0,0,1
"37007","kuzavbo01",1954,2,"BAL","AL",4,7,0,0,0,0,0,0,0,0,0,4,NA,0,1,0,0
"37009","larsedo01",1954,1,"BAL","AL",44,88,6,22,5,3,1,4,0,0,5,15,NA,0,2,0,2
"37010","laryfr01",1954,1,"DET","AL",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37012","lemonbo01",1954,1,"CLE","AL",40,98,11,21,4,1,2,10,0,0,6,24,NA,0,8,1,1
"37021","lollash01",1954,1,"CHA","AL",107,316,31,77,13,0,7,34,0,1,37,28,NA,7,3,2,5
"37024","majesha01",1954,1,"CLE","AL",57,121,10,34,4,0,3,17,0,0,7,14,NA,0,1,0,5
"37025","mantlmi01",1954,1,"NYA","AL",146,543,129,163,17,12,27,102,5,2,102,107,NA,0,2,4,3
"37032","maxwech01",1954,1,"BOS","AL",74,104,9,26,4,1,0,5,3,0,12,21,NA,0,1,0,4
"37040","michaca01",1954,1,"CHA","AL",101,282,35,74,13,2,7,44,10,4,56,31,NA,4,2,0,2
"37043","minosmi01",1954,1,"CHA","AL",153,568,119,182,29,18,19,116,18,11,77,46,NA,16,6,8,20
"37049","mossle01",1954,1,"BAL","AL",50,126,7,31,3,0,0,5,0,0,14,16,NA,0,1,0,3
"37054","newhoha01",1954,1,"CLE","AL",26,13,0,2,0,0,0,1,0,0,0,0,NA,0,1,0,0
"37056","niemabo01",1954,1,"DET","AL",91,251,24,66,14,1,8,35,0,2,22,32,NA,0,3,3,10
"37058","norenir01",1954,1,"NYA","AL",125,426,70,136,21,6,12,66,4,6,43,38,NA,1,3,7,4
"37065","pascuca02",1954,1,"WS1","AL",48,30,2,4,0,1,0,1,0,0,1,2,NA,0,1,0,0
"37069","phillda01",1954,1,"CLE","AL",133,452,48,102,13,3,12,60,2,4,57,48,NA,0,6,7,16
"37070","piercbi02",1954,1,"CHA","AL",38,57,4,11,0,0,0,5,0,0,4,12,NA,0,6,1,0
"37071","piersji01",1954,1,"BOS","AL",133,474,77,135,24,2,8,38,5,1,36,42,NA,3,5,2,13
"37074","portebo01",1954,1,"WS1","AL",32,88,3,9,0,0,1,5,0,0,4,24,NA,1,5,1,0
"37076","powervi01",1954,1,"PHA","AL",127,462,36,118,17,5,8,38,2,1,19,19,NA,2,0,2,16
"37084","robined01",1954,1,"NYA","AL",85,142,11,37,9,0,3,27,0,0,19,21,NA,0,0,2,1
"37094","schmijo01",1954,1,"WS1","AL",29,60,6,7,0,0,0,1,0,0,2,15,NA,0,6,0,2
"37096","shantbo01",1954,1,"PHA","AL",7,3,2,1,0,0,0,0,0,0,0,0,NA,0,0,0,0
"37098","sievero01",1954,1,"WS1","AL",145,514,75,119,26,6,24,102,2,1,80,77,NA,2,2,11,17
"37102","skowrbi01",1954,1,"NYA","AL",87,215,37,73,12,9,7,41,2,1,19,18,NA,1,0,2,8
"37103","slaugen01",1954,1,"NYA","AL",69,125,19,31,4,2,1,19,0,2,28,8,NA,0,1,0,0
"37107","stephve01",1954,1,"BAL","AL",101,365,31,104,17,1,8,46,0,3,17,36,NA,0,4,7,4
"37110","stobbch01",1954,1,"WS1","AL",31,51,4,7,1,0,0,3,0,0,6,8,NA,1,9,1,0
"37125","truckvi01",1954,1,"CHA","AL",40,93,5,17,2,0,0,8,0,0,1,21,NA,0,9,2,3
"37131","valoel01",1954,1,"PHA","AL",95,224,28,48,11,6,1,33,2,1,51,18,NA,0,3,3,2
"37133","vernomi01",1954,1,"WS1","AL",151,597,90,173,33,14,20,97,1,4,61,61,NA,5,4,6,10
"37138","wertzvi01",1954,1,"BAL","AL",29,94,5,19,1,0,1,13,0,0,11,17,NA,0,0,1,1
"37139","wertzvi01",1954,2,"CLE","AL",94,295,33,81,14,2,14,48,0,2,34,40,NA,0,1,5,4
"37145","willite01",1954,1,"BOS","AL",117,386,93,133,23,1,29,89,0,0,136,32,NA,1,0,3,10
"37150","woodlge01",1954,1,"NYA","AL",97,304,33,76,12,5,3,40,3,4,53,35,NA,0,0,3,3
"37152","wynnea01",1954,1,"CLE","AL",40,93,10,17,3,0,0,4,0,0,7,13,NA,0,5,0,2
"37153","yosted01",1954,1,"WS1","AL",155,539,101,138,26,4,11,47,7,3,131,71,NA,5,11,1,5
"37157","aaronha01",1954,1,"ML1","NL",122,468,58,131,27,6,13,69,2,2,28,39,NA,3,6,4,13
"37159","adamsbo03",1954,1,"CIN","NL",110,390,69,105,25,6,3,23,2,5,55,46,NA,3,4,2,4
"37160","adcocjo01",1954,1,"ML1","NL",133,500,73,154,27,5,23,87,1,4,44,58,NA,3,11,4,7
"37166","ashburi01",1954,1,"PHI","NL",153,559,111,175,16,8,1,41,11,8,125,46,NA,4,14,1,3
"37169","baileed01",1954,1,"CIN","NL",73,183,21,36,2,3,9,20,1,0,35,34,NA,0,3,1,2
"37170","bakerfl01",1954,2,"PHI","NL",23,22,0,5,0,0,0,0,0,0,5,4,NA,0,1,0,0
"37172","bankser01",1954,1,"CHN","NL",154,593,70,163,19,7,19,79,6,10,40,50,NA,7,5,4,11
"37176","bellgu01",1954,1,"CIN","NL",153,619,104,185,38,7,17,101,5,3,48,58,NA,4,5,8,13
"37186","buhlbo01",1954,1,"ML1","NL",31,31,0,1,0,0,0,0,0,0,2,12,NA,0,0,0,0
"37187","burdele01",1954,1,"ML1","NL",39,79,3,7,1,0,0,4,0,0,1,14,NA,2,5,2,0
"37188","burgesm01",1954,1,"PHI","NL",108,345,41,127,27,5,4,46,1,5,42,11,NA,0,1,4,10
"37201","coopewa01",1954,1,"PIT","NL",14,15,0,3,2,0,0,1,0,0,2,1,NA,0,0,0,1
"37202","coopewa01",1954,2,"CHN","NL",57,158,21,49,10,2,7,32,0,0,21,23,NA,2,0,0,7
"37205","crandde01",1954,1,"ML1","NL",138,463,60,112,18,2,21,64,0,3,40,56,NA,3,6,2,14
"37208","darkal01",1954,1,"NY1","NL",154,644,98,189,26,6,20,70,5,3,27,40,NA,5,12,5,16
"37212","dicksmu01",1954,1,"PHI","NL",40,79,4,15,2,0,0,5,0,0,2,9,NA,0,4,0,2
"37217","ennisde01",1954,1,"PHI","NL",145,556,73,145,23,2,25,119,2,1,50,60,NA,2,1,11,23
"37220","eversho01",1954,2,"NY1","NL",12,11,1,1,0,0,1,3,0,0,0,6,NA,0,0,0,0
"37225","frienbo01",1954,1,"PIT","NL",35,51,6,14,1,1,1,7,0,0,5,8,NA,0,1,0,2
"37226","furilca01",1954,1,"BRO","NL",150,547,56,161,23,1,19,96,2,4,49,35,NA,5,3,3,17
"37242","haddiha01",1954,1,"SLN","NL",61,93,16,18,4,2,0,4,2,0,5,11,NA,0,0,1,1
"37244","halldi01",1954,1,"PIT","NL",112,310,38,74,8,4,2,27,3,0,33,46,NA,0,1,9,14
"37245","hamnegr01",1954,1,"PHI","NL",152,596,83,178,39,11,13,89,1,2,53,44,NA,0,2,9,13
"37247","hattogr01",1954,1,"CIN","NL",1,1,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0
"37253","hodgegi01",1954,1,"BRO","NL",154,579,106,176,23,5,42,130,3,3,74,84,NA,1,5,19,13
"37269","joneswi01",1954,1,"PHI","NL",142,535,64,145,28,3,12,56,4,1,61,54,NA,0,8,6,10
"37277","klippjo01",1954,1,"CHN","NL",36,45,2,6,1,0,0,3,0,0,0,14,NA,0,2,1,0
"37278","kluszte01",1954,1,"CIN","NL",149,573,104,187,28,3,49,141,0,2,78,35,NA,3,0,5,12
"37284","labincl01",1954,1,"BRO","NL",47,30,2,1,0,0,0,0,0,0,4,15,NA,0,0,0,1
"37285","landrho01",1954,1,"CIN","NL",48,81,12,16,0,0,5,14,1,0,18,9,NA,0,2,1,1
"37291","lawve01",1954,1,"PIT","NL",50,52,10,12,5,0,1,13,0,0,5,8,NA,1,6,0,4
"37298","lockmwh01",1954,1,"NY1","NL",148,570,73,143,17,3,16,60,2,2,59,31,NA,0,4,6,3
"37303","lowrepe01",1954,1,"SLN","NL",74,61,6,7,1,2,0,5,0,0,9,9,NA,0,0,2,2
"37310","matheed01",1954,1,"ML1","NL",138,476,96,138,21,4,40,103,10,3,113,61,NA,2,3,7,9
"37311","mayswi01",1954,1,"NY1","NL",151,565,119,195,33,13,41,110,8,5,66,57,NA,2,0,7,12
"37313","mcculcl01",1954,1,"CHN","NL",31,81,9,21,7,0,3,17,0,0,5,5,NA,1,0,0,1
"37314","mcmilro01",1954,1,"CIN","NL",154,588,86,147,21,2,4,42,4,2,47,54,NA,5,31,6,9
"37319","miksied01",1954,1,"CHN","NL",38,99,9,20,3,0,2,3,1,0,3,9,NA,0,2,0,2
"37321","millest01",1954,1,"SLN","NL",20,13,1,4,0,0,0,0,0,0,1,5,NA,0,0,0,0
"37332","musiast01",1954,1,"SLN","NL",153,591,120,195,41,9,35,126,1,7,103,39,NA,4,0,7,20
"37336","nuxhajo01",1954,1,"CIN","NL",36,52,13,9,0,0,3,7,0,0,8,12,NA,0,4,2,2
"37339","pafkoan01",1954,1,"ML1","NL",138,510,61,146,22,4,14,69,1,2,37,36,NA,4,12,7,14
"37353","podrejo01",1954,1,"BRO","NL",38,60,7,17,3,1,0,4,0,0,5,5,NA,0,3,2,2
"37355","polleho01",1954,1,"CHN","NL",20,47,6,13,2,0,0,4,0,0,1,6,NA,0,3,0,2
"37356","postwa01",1954,1,"CIN","NL",130,451,46,115,21,3,18,83,2,2,26,70,NA,3,0,5,10
"37361","raffeke01",1954,1,"CIN","NL",6,2,0,1,0,0,0,1,0,0,0,1,NA,0,0,0,0
"37363","reesepe01",1954,1,"BRO","NL",141,554,98,171,35,8,10,69,8,5,90,62,NA,3,8,6,20
"37366","ricede01",1954,1,"SLN","NL",56,147,13,37,10,1,2,16,0,1,16,21,NA,0,2,2,3
"37373","roberro01",1954,1,"PHI","NL",45,122,11,15,6,1,0,6,0,0,5,34,NA,0,4,2,2
"37382","sauerha01",1954,1,"CHN","NL",142,520,98,150,18,1,41,103,2,1,70,68,NA,6,2,7,8
"37386","schoere01",1954,1,"SLN","NL",148,610,98,192,38,8,5,79,4,2,54,22,NA,1,5,9,17
"37387","schofdi01",1954,1,"SLN","NL",43,7,17,1,0,1,0,1,1,1,0,3,NA,0,0,0,1
"37388","seminan01",1954,1,"CIN","NL",86,247,25,58,9,4,7,30,0,0,48,39,NA,2,1,1,8
"37392","simmocu01",1954,1,"PHI","NL",38,91,11,16,0,0,0,8,0,0,3,20,NA,0,6,0,2
"37398","snidedu01",1954,1,"BRO","NL",149,584,120,199,39,10,40,130,6,6,84,96,NA,4,1,6,12
"37399","spahnwa01",1954,1,"ML1","NL",41,101,4,21,6,0,1,10,0,0,7,17,NA,1,3,0,2
"37402","stalege01",1954,1,"SLN","NL",48,36,3,5,1,0,0,1,0,0,4,8,NA,0,7,0,2
"37410","thomafr03",1954,1,"PIT","NL",153,577,81,172,32,7,23,94,3,2,51,74,NA,10,4,11,10
"37414","thomsbo01",1954,1,"ML1","NL",43,99,7,23,3,0,2,15,0,0,12,29,NA,0,2,0,3
"37415","torgeea01",1954,1,"PHI","NL",135,490,63,133,22,6,5,54,7,1,75,52,NA,0,11,6,13
"37422","wehmehe01",1954,1,"CIN","NL",13,9,0,0,0,0,0,0,0,0,0,3,NA,0,1,0,0
"37423","wehmehe01",1954,2,"PHI","NL",25,50,2,6,0,1,0,2,0,0,2,21,NA,0,5,0,1
"37427","wilheho01",1954,1,"NY1","NL",57,21,0,1,0,0,0,1,0,0,0,8,NA,0,1,0,0
"37429","willidi02",1954,1,"BRO","NL",16,34,5,5,0,0,1,2,0,0,2,7,NA,0,0,1,1
"37433","worthal01",1954,1,"NY1","NL",10,4,0,0,0,0,0,0,0,0,0,2,NA,0,0,0,0
"37442","abernte02",1955,1,"WS1","AL",40,26,1,4,0,0,0,0,0,0,0,6,0,0,4,0,1
"37444","adamsbo03",1955,2,"CHA","AL",28,21,8,2,0,1,0,3,0,0,4,4,0,0,0,0,0
"37446","aguirha01",1955,1,"CLE","AL",4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"37457","berrayo01",1955,1,"NYA","AL",147,541,84,147,20,3,27,108,1,0,60,20,6,7,2,5,13
"37467","boonera01",1955,1,"DET","AL",135,500,61,142,22,7,20,116,1,1,50,49,2,1,2,7,16
"37469","boyercl02",1955,1,"KC1","AL",47,79,3,19,1,0,0,6,0,0,3,17,0,0,0,0,3
"37473","brownha01",1955,1,"BOS","AL",2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"37474","brownha01",1955,2,"BAL","AL",25,16,5,0,0,0,0,0,0,0,2,5,0,0,0,0,0
"37475","bunniji01",1955,1,"DET","AL",15,15,0,3,0,0,0,0,0,0,0,5,0,0,2,0,0
"37477","busbyji01",1955,1,"WS1","AL",47,191,23,44,6,2,6,14,5,0,13,22,1,0,4,0,4
"37478","busbyji01",1955,2,"CHA","AL",99,337,38,82,13,4,1,27,7,3,25,37,0,0,6,2,6
"37481","byrneto01",1955,1,"NYA","AL",45,78,6,16,1,1,1,6,0,0,8,15,0,0,1,2,3
"37486","cavarph01",1955,1,"CHA","AL",6,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"37488","cervbo01",1955,1,"NYA","AL",55,85,17,29,4,2,3,22,4,0,7,16,0,3,1,0,1
"37494","colavro01",1955,1,"CLE","AL",5,9,3,4,2,0,0,0,0,0,0,2,0,0,0,0,0
"37521","donovdi01",1955,1,"CHA","AL",40,76,10,17,0,0,1,5,0,0,9,26,0,3,1,0,3
"37524","dropowa01",1955,1,"CHA","AL",141,453,55,127,15,2,19,79,0,1,42,71,8,2,3,2,15
"37528","eversho01",1955,1,"BAL","AL",60,185,21,44,10,1,6,30,2,1,19,28,0,0,5,1,10
"37529","eversho01",1955,2,"CLE","AL",39,66,10,19,7,1,2,9,0,1,3,12,0,0,0,1,1
"37532","fellebo01",1955,1,"CLE","AL",25,21,0,1,0,0,0,0,0,0,1,12,0,0,3,0,0
"37538","foileha01",1955,1,"CLE","AL",62,111,13,29,9,0,1,7,0,0,17,18,3,0,2,2,4
"37539","fordwh01",1955,1,"NYA","AL",39,86,9,14,0,0,1,7,0,0,11,16,0,0,3,0,1
"37540","fornimi01",1955,1,"CHA","AL",28,29,6,3,1,0,0,1,0,0,0,5,0,0,2,0,0
"37541","foxne01",1955,1,"CHA","AL",154,636,100,198,28,7,6,59,7,9,38,15,1,17,14,4,8
"37548","garvene01",1955,1,"DET","AL",33,76,11,17,1,0,1,13,1,0,9,5,0,0,3,3,5
"37553","goodmbi01",1955,1,"BOS","AL",149,599,100,176,31,2,0,52,5,5,99,44,1,3,10,4,13
"37561","gromest01",1955,1,"DET","AL",28,54,10,9,1,0,0,5,0,0,16,12,0,0,4,0,0
"37562","grothjo01",1955,1,"CHA","AL",32,77,13,26,7,0,2,11,1,0,6,13,1,0,3,2,2
"37563","grothjo01",1955,2,"WS1","AL",63,183,22,40,4,5,2,17,2,0,18,18,0,0,2,2,5
"37570","hattogr01",1955,1,"BOS","AL",126,380,48,93,11,4,4,49,0,1,76,28,3,0,4,5,8
"37571","heganji01",1955,1,"CLE","AL",116,304,30,67,5,2,9,40,0,1,34,33,5,0,7,7,7
"37572","henrybi01",1955,1,"BOS","AL",17,19,0,2,0,0,0,0,0,0,1,9,0,0,0,0,0
"37573","herbera01",1955,1,"KC1","AL",24,21,1,4,1,0,0,2,0,0,1,7,0,0,1,1,1
"37574","hoeftbi01",1955,1,"DET","AL",36,82,9,17,2,0,0,4,0,0,10,25,0,0,4,0,1
"37577","howarel01",1955,1,"NYA","AL",97,279,33,81,8,7,10,43,0,0,20,36,5,1,1,4,4
"37588","joosted01",1955,1,"BOS","AL",55,119,15,23,2,0,5,17,0,0,17,21,2,1,1,0,2
"37589","kalinal01",1955,1,"DET","AL",152,588,121,200,24,8,27,102,6,8,82,57,12,5,0,6,13
"37591","kellge01",1955,1,"CHA","AL",128,429,44,134,24,1,8,81,2,2,51,36,2,6,13,5,7
"37594","kennebo01",1955,1,"BAL","AL",26,70,10,10,1,0,0,5,0,1,10,10,0,0,0,0,3
"37595","kennebo01",1955,2,"CHA","AL",83,214,28,65,10,2,9,43,0,2,16,16,0,0,2,0,7
"37598","killeha01",1955,1,"WS1","AL",38,80,12,16,1,0,4,7,0,0,9,31,0,0,0,0,3
"37609","kuennha01",1955,1,"DET","AL",145,620,101,190,38,5,8,62,8,3,40,27,3,1,0,5,7
"37612","kuzavbo01",1955,1,"BAL","AL",6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37613","larsedo01",1955,1,"NYA","AL",21,41,4,6,1,0,2,7,0,0,4,13,0,0,0,0,1
"37614","laryfr01",1955,1,"DET","AL",36,82,4,16,2,0,0,2,0,0,4,29,0,0,5,0,1
"37616","lemonbo01",1955,1,"CLE","AL",49,78,11,19,0,0,1,9,0,0,13,16,0,0,6,2,1
"37624","lollash01",1955,1,"CHA","AL",138,426,67,111,13,1,16,61,2,2,68,34,12,10,4,2,10
"37631","majesha01",1955,1,"CLE","AL",36,48,3,9,2,0,2,6,0,0,8,3,0,2,0,1,2
"37632","majesha01",1955,2,"BAL","AL",16,41,2,7,1,0,0,2,0,0,2,4,1,0,0,0,1
"37635","mantlmi01",1955,1,"NYA","AL",147,517,121,158,25,11,37,99,8,1,113,97,6,3,2,3,4
"37642","maxwech01",1955,1,"BAL","AL",4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"37643","maxwech01",1955,2,"DET","AL",55,109,19,29,7,1,7,18,0,0,8,20,0,2,2,1,2
"37652","minosmi01",1955,1,"CHA","AL",139,517,79,149,26,7,10,70,19,8,76,43,3,10,8,4,18
"37658","mossle01",1955,1,"BAL","AL",29,56,5,19,1,0,2,6,0,1,7,4,1,0,0,0,1
"37659","mossle01",1955,2,"CHA","AL",32,59,5,15,2,0,2,7,0,0,6,10,1,1,2,0,0
"37663","newhoha01",1955,1,"CLE","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37664","niemabo01",1955,1,"CHA","AL",99,272,36,77,11,2,11,53,1,0,36,37,1,2,3,4,9
"37666","norenir01",1955,1,"NYA","AL",132,371,49,94,19,1,8,59,5,2,43,33,5,3,0,6,6
"37667","northro01",1955,1,"CHA","AL",14,14,1,5,2,0,1,4,0,0,3,3,0,0,0,0,1
"37675","pascuca02",1955,1,"WS1","AL",43,32,2,7,0,0,0,0,0,0,1,2,0,0,2,0,0
"37680","phillda01",1955,1,"CLE","AL",43,104,15,31,4,2,2,9,0,2,12,10,2,0,0,1,5
"37681","phillda01",1955,2,"BAL","AL",83,311,50,93,13,3,6,41,1,2,34,38,2,0,2,1,9
"37683","piercbi02",1955,1,"CHA","AL",34,70,5,12,2,0,0,7,1,0,3,10,0,0,8,0,0
"37684","piersji01",1955,1,"BOS","AL",149,515,68,146,25,5,13,62,6,1,67,52,7,2,9,6,16
"37689","portebo01",1955,1,"WS1","AL",30,63,3,12,3,1,0,7,0,0,0,15,0,0,5,2,3
"37693","powervi01",1955,1,"KC1","AL",147,596,91,190,34,10,19,76,0,2,35,27,6,0,3,5,12
"37695","ramospe01",1955,1,"WS1","AL",59,38,6,3,0,0,0,0,0,1,2,18,0,0,0,0,0
"37703","robinbr01",1955,1,"BAL","AL",6,22,0,2,0,0,0,1,0,0,0,10,0,0,0,0,0
"37704","robined01",1955,1,"NYA","AL",88,173,25,36,1,0,16,42,0,0,36,26,7,5,0,1,7
"37716","schmijo01",1955,1,"WS1","AL",32,54,5,10,3,0,0,5,0,0,1,7,0,0,3,0,1
"37723","shantbo01",1955,1,"KC1","AL",26,41,5,6,0,0,0,0,0,0,1,5,0,0,2,0,0
"37725","sievero01",1955,1,"WS1","AL",144,509,74,138,20,8,25,106,1,2,73,66,3,4,0,5,17
"37729","skowrbi01",1955,1,"NYA","AL",108,288,46,92,17,3,12,61,1,1,21,32,4,3,0,2,11
"37730","slaugen01",1955,1,"NYA","AL",10,9,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0
"37731","slaugen01",1955,2,"KC1","AL",108,267,49,86,12,4,5,34,2,3,40,17,4,2,1,5,8
"37740","stalege01",1955,2,"NYA","AL",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37742","stephve01",1955,1,"BAL","AL",3,6,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"37743","stephve01",1955,2,"CHA","AL",22,56,10,14,3,0,3,7,0,0,7,11,0,0,1,1,1
"37746","stobbch01",1955,1,"WS1","AL",41,35,3,6,1,0,0,1,0,0,8,7,0,0,1,0,0
"37750","sturdto01",1955,1,"NYA","AL",33,12,1,1,0,0,0,0,0,0,0,3,0,0,1,0,0
"37758","torgeea01",1955,2,"DET","AL",89,300,58,85,10,1,9,50,9,0,61,29,2,0,1,7,6
"37762","truckvi01",1955,1,"CHA","AL",32,64,2,8,1,0,0,6,0,0,0,12,0,0,7,1,1
"37767","valoel01",1955,1,"KC1","AL",112,283,50,103,17,4,3,37,5,3,52,18,2,0,1,2,5
"37769","vernomi01",1955,1,"WS1","AL",150,538,74,162,23,8,14,85,0,4,74,50,9,3,4,8,17
"37771","wertzvi01",1955,1,"CLE","AL",74,257,30,65,11,2,14,55,1,1,32,33,3,1,0,5,6
"37778","wightbi01",1955,1,"CLE","AL",17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"37779","wightbi01",1955,2,"BAL","AL",19,36,1,3,1,0,0,2,0,0,1,16,0,0,5,0,0
"37780","willite01",1955,1,"BOS","AL",98,320,77,114,21,3,28,83,2,0,91,24,17,2,0,4,8
"37784","woodlge01",1955,1,"BAL","AL",47,145,22,32,6,2,3,18,1,1,24,18,4,1,0,3,2
"37785","woodlge01",1955,2,"CLE","AL",79,259,33,72,15,1,5,35,2,4,36,15,2,3,1,4,8
"37787","wynnea01",1955,1,"CLE","AL",34,84,8,15,3,0,1,7,0,0,6,17,0,0,2,0,2
"37788","yosted01",1955,1,"WS1","AL",122,375,64,91,17,5,7,48,4,3,95,54,0,11,6,3,7
"37795","aaronha01",1955,1,"ML1","NL",153,602,105,189,37,9,27,106,3,1,49,61,5,3,7,4,20
"37796","adamsbo03",1955,1,"CIN","NL",64,150,23,41,11,2,2,20,2,0,20,21,1,3,2,1,3
"37797","adcocjo01",1955,1,"ML1","NL",84,288,40,76,14,0,15,45,0,2,31,44,3,2,2,1,13
"37805","ashburi01",1955,1,"PHI","NL",140,533,91,180,32,9,3,42,12,10,105,36,5,3,2,1,3
"37808","baileed01",1955,1,"CIN","NL",21,39,3,8,1,1,1,4,0,0,4,10,0,3,0,0,2
"37809","bakerfl01",1955,1,"PHI","NL",5,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2
"37811","bankser01",1955,1,"CHN","NL",154,596,98,176,29,9,44,117,9,3,45,72,6,2,0,3,16
"37815","bellgu01",1955,1,"CIN","NL",154,610,88,188,30,6,27,104,4,4,54,57,2,0,2,6,6
"37819","blasido01",1955,1,"SLN","NL",5,16,4,6,1,0,0,0,1,1,6,0,1,0,1,0,0
"37826","boyerke01",1955,1,"SLN","NL",147,530,78,140,27,2,18,62,22,17,37,67,5,1,1,5,6
"37830","buhlbo01",1955,1,"ML1","NL",38,57,2,6,0,0,0,0,0,0,3,24,0,0,7,0,2
"37832","burdele01",1955,1,"ML1","NL",45,86,10,20,5,0,0,7,0,0,3,20,0,0,3,0,0
"37833","burgesm01",1955,1,"PHI","NL",7,21,4,4,2,0,1,1,0,0,3,1,1,0,0,0,3
"37834","burgesm01",1955,2,"CIN","NL",116,421,67,129,15,3,20,77,1,1,47,35,4,1,2,6,11
"37841","clemero01",1955,1,"PIT","NL",124,474,48,121,23,11,5,47,2,5,18,60,3,2,4,3,14
"37849","coopewa01",1955,1,"CHN","NL",54,111,11,31,8,1,7,15,0,0,6,19,1,1,1,0,3
"37852","crandde01",1955,1,"ML1","NL",133,440,61,104,15,2,26,62,2,1,40,56,11,2,6,6,12
"37855","darkal01",1955,1,"NY1","NL",115,475,77,134,20,3,9,45,2,1,22,32,2,5,4,2,5
"37857","dicksmu01",1955,1,"PHI","NL",36,82,6,18,2,0,1,3,0,0,0,9,0,0,3,0,3
"37863","ennisde01",1955,1,"PHI","NL",146,564,82,167,24,7,29,120,4,2,46,46,8,2,2,9,14
"37865","facero01",1955,1,"PIT","NL",43,26,1,3,1,0,0,1,0,0,1,4,0,0,3,0,0
"37874","freesge02",1955,1,"PIT","NL",134,455,69,115,21,8,14,44,5,1,34,57,4,4,16,1,10
"37875","frienbo01",1955,1,"PIT","NL",44,61,3,10,1,0,0,4,0,0,3,15,0,0,6,0,0
"37877","furilca01",1955,1,"BRO","NL",140,523,83,164,24,3,26,95,4,5,43,43,5,7,1,4,15
"37894","groatdi01",1955,1,"PIT","NL",151,521,45,139,28,2,4,51,0,2,38,26,11,1,11,1,20
"37898","haddiha01",1955,1,"SLN","NL",37,73,10,12,2,2,1,7,0,0,4,15,0,0,1,0,3
"37899","halldi01",1955,1,"PIT","NL",21,40,3,7,1,0,1,3,0,0,6,5,0,0,1,0,3
"37900","hamnegr01",1955,1,"PHI","NL",104,405,57,104,12,4,5,43,0,1,41,30,1,1,2,5,10
"37909","hodgegi01",1955,1,"BRO","NL",150,546,75,158,24,5,27,102,2,1,80,91,3,3,3,10,16
"37916","jacksla01",1955,1,"SLN","NL",37,57,1,3,0,0,0,0,0,0,2,17,0,1,1,0,1
"37925","joneswi01",1955,1,"PHI","NL",146,516,65,133,20,3,16,81,6,2,77,51,5,3,6,9,13
"37933","klinero01",1955,1,"PIT","NL",37,38,1,5,0,0,0,0,0,0,1,21,0,0,1,0,0
