Total population female,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
"Korea, Dem. Rep.",5284204,5181762,5119478,5098976,5119659,5178712,5270949,5388966,5523584,5664598,5803007,5933398,6056030,6177730,6309358,6458365,6625588,6806641,6997440,7192035,7385510,7577777,7768505,7952321,8122678,8275450,8407443,8521119,8625074,8731489,8849111,8981359,9125639,9277386,9429353,9576419,9716672,9852264,9986863,10125886,10272802,10428640,10590727,10754297,10912710,11060926,11197583,11323304,11437518,11540160,11631412,11710753,11778491,11836828,11888786,11936773,11981716,12023762,12063606,12101777,12138751,12175022,12211034,12247072,12283327,12319904,12356976,12394514,12432121,12469215,12505310,12540243,12573930,12606048,12636242,12664218,12689786,12712835,12733262,12751001,12765999,12778170,12787458,12793888,12797524,12798419,12796581,12792006,12784719,12774753,12762144,12746934,12729168,12708896,12686173,12661061,12633624,12603934,12572066,12538103,12502131
"Congo, Dem. Rep.",6476576,6603814,6732593,6866557,7008317,7159454,7320463,7490809,7669089,7853309,8041703,8233615,8430262,8635065,8852716,9086439,9337887,9605738,9886611,10175547,10469069,10765961,11067658,11376532,11696145,12029052,12377183,12739899,13114252,13495910,13882462,14274217,14674689,15088787,15523042,15983180,16465420,16970539,17513607,18114216,18783244,19533219,20352255,21197219,22008909,22746924,23391950,23961844,24498936,25065110,25704715,26432044,27232148,28084807,28957800,29827708,30689559,31551692,32419585,33302748,34207947,35135392,36081595,37045340,38024636,39017695,40023896,41042627,42071999,43109775,44154011,45203475,46257268,47314195,48373125,49433023,50492944,51552049,52609596,53664934,54717478,55766478,56811412,57852229,58889086,59921954,60950350,61973592,62991200,64002654,65007360,66004628,66993682,67973668,68943671,69902726,70849821,71783900,72703866,73608577,74496849
Denmark,2152994,2171452,2188981,2205536,2221164,2235999,2250275,2264313,2278506,2293282,2309001,2325848,2343735,2362262,2380833,2398996,2416575,2433634,2450239,2466539,2482605,2498399,2513737,2528371,2541987,2554332,2565431,2575281,2583595,2590025,2594397,2596612,2596962,2596172,2595220,2594868,2595358,2596680,2599022,2602518,2607246,2613313,2620700,2629172,2638382,2648033,2658047,2668363,2678723,2688826,2698440,2707435,2715787,2723508,2730666,2737314,2743442,2749027,2754112,2758756,2763014,2766912,2770483,2773808,2776982,2780081,2783133,2786157,2789203,2792326,2795558,2798912,2802366,2805859,2809307,2812635,2815820,2818834,2821593,2823998,2825969,2827472,2828501,2829043,2829099,2828675,2827770,2826394,2824581,2822377,2819825,2816964,2813829,2810454,2806875,2803138,2799297,2795417,2791571,2787843,2784328
Djibouti,31224,31975,32772,33601,34469,35395,36421,37603,39013,40729,42820,45327,48248,51527,55080,58846,62862,67169,71728,76484,81428,86398,91466,97134,104078,112710,123435,135933,149020,161051,170932,177955,182673,186770,192649,201929,215389,232204,250442,267332,280935,290485,296749,301172,305918,312525,321467,332156,343794,355152,365347,374168,381952,389013,395861,402868,410106,417456,424886,432315,439689,447030,454383,461733,469057,476346,483580,490785,498053,505507,513228,521252,529536,537980,546446,554827,563090,571250,579306,587275,595166,602969,610671,618272,625776,633187,640504,647726,654859,661907,668877,675771,682590,689335,696005,702602,709127,715583,721973,728304,734580
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominican Rep.,1191332,1225702,1262912,1302755,1345053,1389663,1436472,1485398,1536386,1589396,1644377,1701235,1759807,1819852,1881082,1943252,2006218,2069895,2134174,2198969,2264194,2329822,2395782,2461909,2528012,2593983,2659715,2725312,2791139,2857701,2925362,2994244,3064245,3135233,3206986,3279326,3352151,3425467,3499323,3573808,3648932,3724751,3801077,3877381,3952973,4027368,4100334,4172027,4242832,4313340,4383983,4454819,4525714,4596679,4667688,4738690,4809707,4880670,4951316,5021295,5090338,5158325,5225253,5291110,5355928,5419722,5482447,5544044,5604511,5663854,5722073,5779145,5835040,5889743,5943239,5995508,6046526,6096259,6144670,6191714,6237349,6281543,6324263,6365457,6405069,6443052,6479371,6514002,6546911,6578070,6607453,6635040,6660815,6684767,6706887,6727170,6745613,6762216,6776980,6789911,6801015
Ecuador,1703742,1747042,1791902,1838406,1886653,1936758,1988854,2043088,2099622,2158615,2220205,2284476,2351436,2421005,2493045,2567450,2644217,2723368,2804837,2888549,2974453,3062473,3152617,3245019,3339868,3437278,3537231,3639596,3744229,3850937,3959531,4069841,4181728,4295054,4409684,4525441,4641991,4759018,4876349,4993836,5111202,5228418,5344950,5459416,5570065,5675642,5775649,5870389,5960434,6046748,6130134,6210889,6289099,6365157,6439474,6512501,6584280,6655246,6726688,6800213,6876901,6957319,7041008,7126721,7212622,7297313,7380379,7462013,7542155,7620908,7698320,7774214,7848373,7920790,7991504,8060525,8127803,8193246,8256772,8318291,8377727,8435029,8490165,8543097,8593794,8642228,8688395,8732277,8773820,8812961,8849669,8883958,8915885,8945535,8973009,8998413,9021851,9043424,9063230,9081362,9097912
Egypt,10817401,11074074,11342826,11623977,11917554,12223283,12540579,12868558,13206088,13551866,13904659,14263559,14628207,14998886,15376252,15760539,16152800,16552235,16955126,17356495,17753361,18144709,18533424,18925355,19328571,19749447,20189817,20649776,21131781,21638144,22170394,22727645,23309139,23916138,24550114,25210464,25899620,26612642,27332603,28037138,28710619,29346388,29949817,30532381,31111653,31701013,32303114,32915559,33540724,34180258,34835177,35507209,36196452,36899946,37613256,38332859,39057226,39786278,40519545,41256936,41997919,42741807,43486773,44229795,44967175,45696045,46415067,47124057,47822819,48511643,49190811,49859875,50518662,51168173,51809830,52444712,53072987,53694483,54309499,54918303,55520981,56117417,56707248,57289926,57864733,58430903,58987999,59535331,60071534,60594981,61104299,61598553,62077180,62539845,62986269,63416077,63828743,64223557,64599619,64955846,65290971
El Salvador,1114445,1132803,1154214,1178118,1204127,1232025,1261776,1293516,1327522,1364160,1403732,1446310,1491596,1538855,1587094,1635576,1683879,1732081,1780540,1829858,1880395,1932184,1984801,2037594,2089693,2140429,2189605,2237259,2283247,2327486,2369950,2410651,2449690,2487287,2523745,2559384,2593955,2627645,2661710,2697790,2736894,2779678,2825370,2871788,2915886,2955459,2989830,3019616,3045513,3068733,3090256,3110210,3128529,3145811,3162755,3179922,3197625,3215983,3235113,3255042,3275800,3297514,3320275,3344003,3368554,3393816,3419724,3446296,3473592,3501707,3530673,3560453,3590894,3621756,3652732,3683556,3714123,3744341,3773978,3802777,3830545,3857154,3882587,3906899,3930213,3952621,3974121,3994682,4014338,4033133,4051103,4068274,4084663,4100281,4115141,4129255,4142644,4155332,4167349,4178733,4189524
Equatorial Guinea,114657,117000,118428,119378,120188,121096,122235,123638,125251,126950,128607,130147,131612,133179,135096,137477,140537,144061,147224,148909,148379,145402,140411,134163,127755,122070,117176,113082,110518,110347,113103,119221,128356,139273,150231,159961,168012,174713,180533,186267,192493,199285,206413,213804,221319,228855,236415,244048,251745,259500,267310,275166,283067,291032,299085,307241,315514,323896,332361,340871,349402,357937,366492,375124,383906,392891,402096,411494,421034,430643,440264,449879,459495,469107,478715,488320,497915,507491,517049,526591,536118,545630,555126,564606,574074,583530,592974,602407,611836,621272,630719,640179,649648,659117,668580,678027,687451,696847,706209,715534,724822
Eritrea,576399,586724,598083,610357,623450,637296,651859,667129,683122,699868,717400,735725,754813,774585,794936,815800,837233,859299,881967,905192,929001,953198,977930,1003967,1032339,1063694,1098399,1136004,1175331,1214728,1252994,1289290,1323828,1357687,1392504,1429226,1469070,1511085,1551521,1585248,1609032,1621380,1624704,1624513,1628508,1642426,1667714,1703254,1749007,1804172,1867809,1940590,2022058,2108636,2195551,2279322,2358299,2433133,2505474,2578078,2652865,2730201,2809065,2888380,2966572,3042518,3115896,3187111,3256656,3325315,3393685,3461907,3529869,3597632,3665212,3732643,3799989,3867363,3934888,4002707,4070921,4139559,4208609,4278070,4347923,4418127,4488646,4559397,4630226,4700937,4771350,4841319,4910726,4979467,5047430,5114481,5180460,5245175,5308400,5369882,5429332
Estonia,631478,635398,640099,645192,650403,655566,660636,665680,670857,676392,682484,689210,696443,703814,710815,717097,722472,727085,731324,735760,740783,746559,752911,759476,765725,771290,776027,780092,783778,787521,791624,795980,800416,805076,810136,815598,821819,828447,833935,836210,833911,826379,814381,799744,785084,772341,762111,753984,747664,742501,738005,734217,731336,729175,727497,726113,724925,723905,723021,722266,721626,721056,720501,719930,719314,718630,717852,716961,715940,714778,713467,712000,710372,708573,706594,704433,702091,699584,696941,694202,691401,688553,685672,682793,679954,677187,674507,671918,669426,667033,664736,662532,660414,658374,656399,654472,652573,650676,648752,646766,644681
Ethiopia,9302637,9481180,9663700,9850591,10042537,10240517,10445829,10660063,10885031,11122637,11374513,11641616,11923884,12220088,12528253,12846894,13172952,13506182,13850933,14213428,14596461,15007957,15442699,15875031,16270151,16606232,16870788,17079913,17275490,17516059,17843871,18274344,18795779,19390047,20027301,20685484,21358918,22054318,22776100,23532299,24327334,25162527,26031008,26919315,27809591,28689110,29552905,30404605,31250896,32102543,32967959,33848346,34742609,35654297,36587255,37544264,38526812,39534712,40566741,41620669,42694449,43787544,44899263,46027040,47167742,48318692,49478289,50645511,51818972,52997426,54179680,55364441,56550541,57737113,58923440,60108763,61292283,62473063,63650090,64822304,65988807,67148697,68301475,69447147,70585994,71718029,72842705,73959129,75066529,76164022,77250701,78325662,79387997,80436767,81470977,82489547,83491302,84474972,85439184,86382469,87303259
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvinas),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,137996,143418,149022,154568,159910,164997,169874,174682,179635,184997,190997,197737,205116,212794,220291,227262,233582,239364,244791,250151,255654,261372,267238,273164,279012,284697,290093,295261,300519,306299,312858,320440,328807,337151,344360,349686,352760,353947,354120,354544,356124,359158,363342,368252,373211,377722,381695,385292,388569,391647,394617,397462,400145,402724,405276,407850,410473,413126,415761,418308,420715,422981,425122,427120,428955,430623,432100,433410,434651,435952,437406,439051,440850,442725,444557,446259,447804,449212,450495,451681,452788,453814,454742,455559,456248,456795,457196,457453,457566,457539,457376,457078,456646,456080,455381,454551,453595,452518,451329,450039,448660
Finland,2093000,2114183,2136958,2160214,2183096,2205000,2225590,2244782,2262712,2279685,2296001,2311786,2326833,2340538,2352085,2361002,2366907,2370277,2372537,2375651,2380996,2389242,2399926,2411913,2423491,2433469,2441388,2447772,2453586,2460245,2468718,2479415,2491865,2505096,2517703,2528706,2537662,2544969,2551502,2558548,2566987,2577177,2588679,2600617,2611726,2621120,2628544,2634366,2639076,2643432,2648018,2652900,2657999,2663587,2669962,2677305,2685773,2695255,2705323,2715370,2724941,2733878,2742256,2750127,2757626,2764846,2771762,2778295,2784426,2790133,2795396,2800202,2804546,2808433,2811876,2814881,2817456,2819591,2821252,2822392,2822984,2823028,2822552,2821584,2820167,2818343,2816135,2813573,2810711,2807616,2804346,2800944,2797443,2793868,2790243,2786597,2782962,2779380,2775897,2772567,2769451
France,21723145,21805692,21934373,22091713,22265042,22446495,22633270,22827372,23034824,23264367,23523545,23814525,24130450,24453865,24761164,25035627,25269588,25468132,25642993,25812263,25988917,26177009,26371811,26567161,26753455,26924194,27077515,27217252,27349407,27482536,27622826,27772025,27928277,28089725,28253132,28415891,28578043,28739843,28899065,29052967,29199653,29339090,29472096,29598890,29719989,29836457,29946933,30053065,30162524,30285425,30428506,30594871,30781100,30979250,31177809,31368088,31547628,31717841,31878584,32030798,32175234,32311084,32437679,32556284,32668756,32776518,32880115,32979410,33074355,33164682,33250295,33331343,33408317,33481863,33552779,33621682,33688782,33754098,33817794,33879983,33940688,33999939,34057581,34113178,34166142,34215956,34262457,34305464,34344410,34378636,34407647,34431207,34449304,34462078,34469737,34472476,34470456,34463785,34452511,34436631,34416089
French Guiana,12264,12588,12910,13235,13569,13915,14278,14662,15071,15507,15973,16473,17008,17581,18196,18853,19551,20290,21076,21918,22817,23790,24830,25898,26939,27922,28831,29698,30589,31600,32800,34196,35775,37568,39603,41891,44463,47285,50221,53089,55760,58194,60440,62563,64669,66846,69071,71344,73807,76635,79939,83799,88132,92679,97078,101069,104557,107622,110399,113104,115894,118802,121780,124816,127876,130937,134004,137093,140204,143333,146480,149643,152819,156005,159195,162383,165567,168744,171908,175053,178176,181272,184339,187375,190375,193339,196263,199148,201991,204795,207560,210285,212972,215618,218226,220794,223324,225818,228278,230707,233107
French Polynesia,29572,30520,31377,32189,32989,33808,34665,35574,36541,37567,38651,39795,41007,42303,43702,45214,46853,48606,50419,52218,53953,55601,57182,58745,60357,62070,63892,65806,67809,69888,72033,74246,76521,78822,81104,83333,85495,87598,89651,91677,93689,95688,97671,99653,101655,103688,105757,107857,109978,112105,114226,116342,118449,120526,122546,124490,126347,128125,129849,131556,133272,135006,136748,138489,140211,141903,143562,145190,146786,148345,149866,151347,152787,154185,155539,156850,158117,159341,160521,161658,162754,163808,164821,165797,166739,167652,168536,169391,170214,171003,171755,172469,173145,173783,174383,174946,175470,175953,176393,176785,177127
Gabon,240468,240757,241330,242083,242935,243834,244752,245688,246664,247718,248894,250225,251719,253356,255099,256948,258874,260956,263425,266586,270654,275732,281751,288535,295818,303404,311244,319398,327912,336871,346336,356310,366769,377713,389138,401041,413382,426155,439427,453293,467792,482939,498629,514642,530685,546529,562100,577399,592366,606960,621161,634930,648278,661307,674157,686944,699698,712423,725179,738030,751022,764181,777507,790974,804543,818175,831866,845608,859352,873037,886615,900060,913367,926540,939590,952527,965345,978027,990558,1002915,1015084,1027057,1038836,1050428,1061846,1073100,1084189,1095110,1105872,1116481,1126942,1137257,1147422,1157432,1167281,1176962,1186470,1195798,1204944,1213902,1222671
Gambia,132573,133399,134927,137040,139639,142646,146001,149663,153610,157833,162328,167087,172089,177296,182662,188167,193773,199516,205539,212037,219146,226933,235344,244244,253432,262766,272232,281893,291780,301949,312459,323297,334503,346254,358780,372242,386718,402161,418450,435397,452862,470785,489196,508145,527718,547959,568867,590360,612304,634524,656881,679330,701867,724442,747014,769559,792035,814453,836904,859521,882397,905568,929008,952677,976509,1000458,1024513,1048695,1073029,1097547,1122275,1147214,1172352,1197676,1223168,1248811,1274595,1300514,1326557,1352711,1378965,1405305,1431716,1458178,1484669,1511168,1537659,1564127,1590553,1616921,1643211,1669409,1695498,1721466,1747298,1772980,1798499,1823841,1848993,1873940,1898669
Georgia,1897788,1928438,1960845,1994122,2027604,2060848,2093642,2125997,2158112,2190316,2222903,2255945,2289141,2321744,2352755,2381488,2407612,2431400,2453515,2474940,2496391,2518140,2539990,2561633,2582568,2602469,2621188,2638964,2656314,2673951,2692353,2711029,2729571,2748546,2768719,2790209,2814105,2839104,2860092,2870240,2864994,2842165,2804073,2756271,2706776,2661519,2622385,2588055,2557377,2528053,2498423,2468631,2439590,2411235,2383522,2356464,2329914,2303975,2279219,2256415,2236077,2218405,2203128,2189703,2177342,2165437,2153783,2142425,2131306,2120433,2109788,2099290,2088813,2078250,2067490,2056453,2045071,2033337,2021307,2009075,1996712,1984220,1971570,1958759,1945780,1932625,1919299,1905795,1892084,1878125,1863888,1849364,1834558,1819487,1804171,1788626,1772865,1756892,1740707,1724301,1707661
Germany,36883000,37029932,37188482,37361094,37549154,37752997,37971859,38203923,38446443,38695955,38948905,39202324,39454414,39704797,39953807,40200386,40445038,40683367,40903642,41090752,41234156,41329520,41380405,41394221,41382422,41354105,41313915,41262071,41198436,41121434,41031752,40928708,40818855,40718655,40649360,40625882,40652955,40725529,40836055,40972359,41123725,41290387,41470161,41646793,41799890,41915300,41984177,42010646,42009691,42003784,42008841,42030106,42061363,42093368,42112036,42107444,42077156,42025519,41957559,41880940,41801442,41720400,41636635,41550450,41461585,41369849,41275824,41179979,41081754,40980255,40874809,40765296,40651879,40534493,40413120,40287748,40158347,40024884,39887361,39745791,39600215,39450681,39297281,39140172,38979550,38815599,38648422,38478143,38304996,38129251,37951132,37770787,37588302,37403718,37217064,37028374,36837701,36645119,36450725,36254637,36056995
