"Agriculture, value added (% of GDP)",1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Mongolia,,,,,,,,,,,,,,,,,,,,,16.742788,18.03641541,18.41536498,17.20092943,16.40070316,18.66952836,16.4175678,16.62937999,15.51500751,12.85691581,13.10414526,27.19231952,27.85179291,29.28567983,34.36384,40.98308157,34.72669845,35.09476751,34.7649789,30.87545764,26.35049338,21.49947726,20.76199594,22.60746796,22.058959,19.61759812,20.45809624,21.41278009,19.62670338,16.22147525,15.3310171
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.45553221,11.94860675,12.1942253,11.60590957,10.87958827,10.45709624,10.16626168,9.108359273,9.307104279,9.982095386,9.194596398,10.1
Montserrat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,18.48221221,12.91193565,15.44100839,15.28843146,14.95607486,16.44696651,19.27724431,15.7685588,17.73206719,17.71728194,18.26216256,20.71621213,16.10415978,15.38228415,19.08599764,15.08570995,19.59844282,15.79928398,20.22331123,17.46140701,14.94414646,16.55065514,16.53743832,17.29180164,16.31842176,14.67752281,16.89011252,13.73079735,14.63610659,16.38962761,15.37879019,15.0903638
Mozambique,,,,,,,,,,,,,,,,,,,,37.08561074,35.1000006,33.80000051,37.59999819,30.16010956,47.48201411,41.14176242,44.14865697,42.87974496,47.37886808,37.11874182,39.14282593,34.51173973,38.26789423,33.25365244,34.79753003,35.22373611,34.85253462,30.84485763,28.5648423,24.00979571,22.50525196,27.82137658,28.036516,27.41312791,26.96016103,27.85984794,27.70962126,30.47388821,31.45570396,31.85200415,31.96482069
Myanmar,,,,,35.09968992,34.39830544,37.69671116,39.81371776,38.56783126,38.00195089,38.29644402,37.81099176,38.61098218,45.63543886,47.07160079,46.62923412,44.9355113,44.20754767,45.85797767,46.54355362,47.41138149,47.67896254,47.59047283,48.1276946,48.19518188,50.20159761,55.30000555,57.36788343,57.00752227,57.25852204,58.82595727,60.50722008,63.00911938,62.96114783,59.98554725,60.08926993,58.92502874,59.05007902,59.9129351,57.23865363,57.06918358,54.52831916,50.62055699,48.35192565,,,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,11.15987461,11.8872549,11.34408602,10.54955839,10.44710049,9.442669507,10.24450634,12.56157635,12.42403781,11.48870438,11.71746669,12.437731,9.272349272,9.468877674,12.76245767,12.11447871,11.9349545,10.89632107,10.97247925,11.36525698,11.82399611,10.51380314,10.94439814,10.94028392,9.740408913,11.32748801,10.46798276,9.36166507,9.329279878,9.35247787,7.502314204,7.326653874
Nauru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nepal,,,,,65.49601658,70.50957862,67.18848661,68.42179392,67.7914116,67.29025667,68.07977056,69.44718161,66.69738492,70.52716434,71.75577275,69.29290586,63.91264345,63.04135198,64.31974662,61.77465299,60.90473452,61.00836796,60.30401778,60.99340842,51.71191639,51.47485631,50.72384549,50.89733293,50.37450746,51.63276998,47.21452387,44.86481201,42.22797927,43.06739417,41.75849381,41.50503735,41.43227669,39.90571191,41.29172126,40.81953519,37.64258831,38.589953,37.53912996,37.1730321,36.34885184,34.64208222,33.56069831,32.7293888,34.03446623,36.52847708,38.1389785
Netherlands,,,,,,,,,,5.701968135,5.332845404,5.255751255,5.166260838,4.542742979,4.73237432,4.731452082,4.381168256,4.216023339,3.870977026,3.796361792,4.246495916,4.350895988,4.163338189,4.133033588,4.141148866,4.278791304,4.208654723,4.163036498,4.495228056,4.37426284,4.251484622,3.987571838,3.51739115,3.559802027,3.477507019,3.288990139,3.456656412,2.97012286,2.666589223,2.643171806,2.559890934,2.324711493,2.346351374,2.151421234,2.090174536,2.202450043,2.077809514,1.810922707,1.72798479,1.959800046,
Netherlands Antilles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Caledonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.624209765,3.618932215,3.619411403,3.70268401,3.876145873,3.547264747,3.483644496,3.67491288,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,11.71870463,13.57032406,12.32072057,8.512399929,10.23314875,11.11772346,9.750413026,9.251257879,11.83363175,10.34994162,8.908687577,7.533981046,7.796776762,8.724508692,7.656752155,6.588944409,7.000828024,7.353955618,7.713990531,6.883682101,7.848039192,7.671632191,8.32688646,7.449992887,7.365917173,7.364154555,6.968064525,6.751033052,7.146566417,8.78009092,9.116026535,6.829683159,6.700610246,6.33166804,5.40291681,5.635167155,,,,,
Ngorno-Karabakh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.12766433,23.4022364,24.98564135,23.66702649,22.85097869,20.04841013,20.89005615,19.52790004,19.14709733,18.32886402,18.73934211,18.98825838,19.19856992,18.2833263,20.16513199,19.89289584,20.77145342,21.4996998
Niger,73.88716503,75.99760961,72.9479544,74.32403859,67.7039196,66.87473441,70.70632568,69.16820718,66.41938089,64.87511189,65.46078092,62.46013642,60.27145109,63.79496478,50.3114628,47.02771857,51.78719519,52.68034938,48.68450092,43.05660592,45.65180488,44.29864469,41.58055549,35.7713392,36.74289311,34.72853994,35.210848,35.35041061,34.07162501,35.25318447,39.16308056,38.75356809,38.47354907,40.79962981,40.18960344,38.93400144,38.86856863,42.62248374,40.72911408,37.83973758,40.00701262,39.56901111,39.64724409,,,,,,,,
Nigeria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.56594011,42.70727003,34.21028658,32.75542173,31.99766576,32.71415892,,,,
Niue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norfolk Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Mariana Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norway,,,,,,,,,,5.889178996,5.93132745,5.350386031,5.173958221,5.056829054,4.725887816,5.060205666,5.107221417,4.833342707,4.312534722,4.106595679,4.125285762,3.892990645,3.382778904,3.507422107,3.312864207,3.71064743,3.763203327,3.593547243,3.342852589,3.423303092,3.345698377,3.037031028,3.033801797,3.051423815,3.051810142,2.625410535,2.429655893,2.674281782,2.408968232,2.096535991,1.818440948,1.747680079,1.540111814,1.610322547,1.52224435,1.487627479,1.34005475,1.191112,1.240337973,1.61126574,
Oman,74.23311517,61.19402985,60.28037383,60.18099548,60.61946903,58.67768595,36.8556701,19.18678526,16.10001,15.54308052,13.42925659,12.07386364,9.858323495,3.236587693,2.789285221,2.069433375,2.545415794,3.243528461,3.125242264,2.545859388,2.476767743,2.533149321,2.938063536,2.921001705,2.772071028,3.427815588,3.509356138,3.833152427,3.24952825,2.586302833,2.632544487,2.335052945,2.396119575,2.53256296,2.775527121,2.504128149,2.619262662,2.82874673,2.632209777,1.955160224,2.051148392,2.113615434,1.99082458,1.860882682,,,,,,,
Pakistan,45.0437143,43.33328509,42.1463935,41.64032825,40.22505586,37.06742365,38.68964441,39.80770217,37.38482113,36.83008616,35.52579762,36.47420267,36.0342129,34.91254558,32.04606113,31.57391738,32.33369168,31.61919772,30.41316967,29.51728885,30.82705579,31.56428328,30.26077046,27.91512772,28.53687895,27.62057595,26.24987555,26.02221,26.94916537,25.97877804,25.77451802,26.34670757,24.99402035,25.55021362,26.13875669,25.48283815,26.70256627,27.31006367,27.03159386,25.92936031,24.09488168,23.35388324,23.36270554,22.18350653,21.46540471,20.35645043,20.46411342,20.33123945,21.56421448,21.177598,21.62011288
Palau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.52372925,10.64723939,8.279579071,5.855409623,3.928788374,3.022283623,2.985463677,4.063229844,3.917600533,3.868702513,3.349306602,3.376486478,3.27806827,3.483050082,3.486559546,3.497928242,,,,
Panama,,,,,,,,,,,,,,,,,,,,8.919100821,8.732970351,8.13233587,8.712970922,8.157841756,8.296186231,8.900215283,8.986811539,9.519730932,10.20766673,9.779106332,9.255898367,8.37809308,8.051582919,7.891021072,7.918578811,7.471740682,7.300174797,7.448590714,6.980267465,7.236330715,7.729637918,7.543067839,7.75021885,8.032004423,6.979178945,6.526252968,5.950865062,5.437832698,5.050914863,4.033691158,3.99896443
Papua New Guinea,50.30502112,48.6569793,45.32163743,43.87291982,43.03030303,42.97200715,43.72522009,44.7279627,43.75001786,39.11296083,36.40454347,34.0669174,29.47224557,29.37493895,31.43062043,33.59858342,35.24232793,38.32818983,35.95914991,35.39827216,35.83555668,35.12509289,35.17030637,40.53440742,36.63176226,35.34232735,32.90609694,32.00665109,30.12277061,30.85898279,27.51277683,25.66362891,28.72035277,33.86565752,35.48846193,33.30803191,36.96604763,35.47507893,36.14816408,35.77192679,36.26714516,39.95163939,40.05736153,37.7963236,38.61126772,35.87296573,36.00582916,33.60725505,35.89017474,35.79184164,35.886553
Paraguay,35.99844034,37.0023192,38.19727629,37.57578563,36.70764531,35.68443771,32.89667559,32.49065352,32.5544653,32.06586388,33.19838324,34.46371984,37.70179258,35.2968136,36.90630701,34.55007315,34.11263487,32.0674494,31.3954946,28.62355446,27.01429388,25.8817157,25.74257513,28.68913672,28.93341525,27.20580205,27.34600538,29.62532178,29.55038638,27.78326949,26.55991499,24.49897624,24.51362192,20.59791552,20.72224081,20.55768552,18.45172384,17.58659953,17.58146417,17.01500838,16.27795567,17.53195882,20.18684589,21.69971491,21.13138747,20.20278497,22.00143881,23.58751994,19.24144041,22.27841672,21.99410179
Peru,21.07356803,19.94629768,18.85229873,18.34396943,17.95252241,18.11912202,18.69517523,18.60249867,18.02397667,18.67857116,17.80339438,16.78220578,16.48961879,15.91649155,16.36609521,15.30379211,15.65355954,13.11734011,11.68161373,,,,,,,11.21191945,10.2951021,10.2951021,8.040914626,8.538121085,8.446727999,8.501192123,9.027230786,9.216333472,8.775698532,9.205465917,8.655276343,8.97755485,8.756236054,8.499160947,8.249249556,7.845658276,7.631926519,7.288555422,7.206778881,6.952271804,7.006707324,7.369955612,7.534178801,8.487908006,7.823536847
Philippines,26.77652055,26.85774996,27.41204487,26.53383893,27.15214219,27.14044537,27.36834225,29.20060332,29.9195451,29.52209791,30.30767293,29.45155564,30.55796133,31.05564167,30.33997221,29.26869532,28.71826251,28.21541534,27.44406111,25.11559022,24.89097857,23.34816207,22.3652517,24.75285091,24.57740482,23.9464794,24.00932094,22.96285452,22.69278314,21.90381504,20.98282788,21.820875,21.60429229,22.00365992,21.6268414,20.61782145,18.87233218,14.75983601,15.21112017,13.96678221,13.20227225,13.14558732,12.70429548,13.30543689,12.66480278,12.36913455,12.4967356,13.24346023,13.08068275,12.31432783,13.03628589
Pitcairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.259931596,6.645409637,8.275546454,8.41132849,7.943225265,8.006525505,7.54644869,6.61833222,5.950719724,5.227642762,4.957839039,5.100143113,4.517027656,4.392918989,5.104269988,4.528879906,4.288112167,4.327878598,3.734786955,3.651279938,3.53731105,
Portugal,,,,,,,,,,29.82443878,28.30618492,26.53621534,26.99400365,25.28592591,25.6249702,24.06379194,24.06379194,22.70063713,21.01393796,18.79677065,16.8137632,16.54345334,15.30838562,15.33279871,14.78580114,13.47126211,13.93249005,11.20427929,9.869532232,8.819379238,8.039077034,6.643547668,6.336978837,5.943376345,5.565116574,5.335283815,4.481385223,4.174661571,3.864692252,3.647196247,3.461691093,3.226145174,3.154716186,3.093319749,2.788346038,2.763564662,2.450810074,2.407990827,2.438145245,2.434275101,
Puerto Rico,,,,,,5.413590872,,,3.609298859,3.19588452,3.125719429,2.964133384,2.600574133,3.720331043,3.303083528,3.183328661,2.677859808,2.943125924,2.723137228,2.63436799,2.298238289,2.314455813,2.265492011,1.798294649,1.759063924,1.696905711,1.722087231,1.523393317,1.56756341,1.418451277,1.391581726,1.212807245,1.113954906,0.9301950588,0.7466516486,0.8286135225,0.9670658061,0.8074118448,0.5807299321,0.8575114502,0.587746602,0.5335792549,0.5631466548,0.6354600951,0.6029083412,0.5984934568,0.4866576105,0.5601167099,0.5314489651,0.5746905532,
Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reunion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,,,,,,,,,,,,,,16.44467213,19.92753623,,,,,,,,23.74064205,20.12873875,19.40593725,22.63701941,21.53773255,21.42585789,20.56783235,19.55728411,16.21875496,15.15275142,12.51389704,14.97637235,12.76191298,13.02677633,14.33341,10.13688017,10.50657922,8.776638255,7.139933994,7.157517646,7.143339125,6.973476732
Russia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.81399325,16.61107388,14.29419612,7.39353834,8.311089518,6.629480554,7.160512321,7.172466456,6.4393762,5.616002678,7.31454382,6.434521622,6.588680759,6.298758953,6.255228895,5.620174873,4.966573435,4.523400386,4.410792238,4.403474027,4.682701244,4.042329269,
Rwanda,,,,,74.79170406,74.8669204,65.85108631,65.28338275,65.79065754,61.61891648,61.17858855,59.55947338,61.0245943,59.13528275,49.21356724,49.21609959,46.46098261,42.41825689,49.03816193,45.84683653,40.73711836,39.78374879,38.20267389,40.83752644,41.8358363,37.52634618,37.70910671,39.22077183,40.30891082,32.54599392,32.13270695,33.23761506,33.73489259,49.7587461,44.00044948,47.18929221,45.96095226,45.51746118,41.93518491,37.1867109,37.33603682,35.49448563,37.00704839,38.56196076,38.3884309,38.43487533,35.66098231,32.3858532,33.91234125,32.22122951,
St. Barthélemy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Helena,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Kitts and Nevis,,,,,,,,,,,,,,,,,18.93063584,15.86475943,15.47212742,15.94202899,11.13801453,14.35643564,11.62957645,11.8226601,9.060773481,10.75622358,10.63218391,9.736659737,7.74735532,6.455534103,6.707411746,6.96709161,6.816402708,5.78311365,5.342774094,5.176135861,5.540179358,4.165475713,3.302567061,2.061905913,2.320164388,2.395544646,2.394843715,2.383806484,2.253995793,1.71615568,1.539826721,1.653319447,1.53343611,1.723226274,
St. Lucia,,,,,,,,,,,,,,,,,,,15.18987342,14.38823454,13.14256997,13.92865491,14.97027519,14.8443115,15.22271122,18.09547244,13.24949575,16.18136032,13.34712512,14.52632047,13.12789452,13.38573214,10.87309023,9.816060613,10.18937607,8.906850985,6.814409366,8.249363902,7.260935666,7.014509136,5.739449197,5.942675696,5.499573526,4.89416816,3.750258169,3.870264115,3.425075985,4.50462646,4.231800609,3.239188138,
St. Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St. Vincent and the Grenadines,,,,,,,,,,,,,,,,,17.51042287,19.19154459,15.72854291,14.27850292,15.82369526,16.45177927,17.29024943,18.40020445,19.6039604,19.12072575,17.0103246,17.81414108,16.98646586,21.18857345,18.59021936,19.36882512,14.86905936,11.11975507,14.07886017,12.5472408,10.11566306,10.80685676,10.48857851,8.544122459,7.237160533,7.34267625,6.404256145,6.002072813,6.282905865,6.150472,6.295051034,6.662782444,7.277247758,6.878529434,
St.-Pierre-et-Miquelon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.01044264,18.52495339,18.89667537,21.00868425,19.1877217,17.11772118,16.84075851,14.88813631,14.56343904,12.42972606,13.31680171,13.23569044,12.16277061,12.18202299,11.73124023,11.95012536,9.77446305,
San Marino,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sao Tome and Principe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.68136483,19.94051711,21.05125398,22.55266612,16.80607369,,,,,,
Saudi Arabia,,,,,,,,4.934996104,4.919251122,4.542433139,3.488867823,2.948325938,2.275359552,0.843361472,0.9335858762,0.7934359839,1.174897182,1.540772637,1.225400699,0.9877352073,1.005344175,1.597109425,2.165944111,2.764106549,3.66418817,4.925470281,5.705899161,6.321876023,6.343382698,5.748923865,5.469520416,5.639042746,6.107005771,6.188389215,5.92272975,5.44428442,5.405388152,6.201614348,5.706366869,4.949077135,5.203002474,5.105739895,4.530428212,3.961242944,3.237181927,2.9480054,2.783500581,2.303063081,2.932111001,2.485462623,
Senegal,,,,,,,,,,,,,,,,,,,,20.08185349,22.28192612,22.95150421,18.61728325,20.10215798,23.225376,24.13593717,24.85921374,21.16416468,22.60013555,19.93204467,20.27635111,18.61881818,20.58542111,18.98113294,21.00893634,19.91699031,19.7673128,19.36759338,18.97548907,19.14190174,18.51394099,15.52780009,17.55172467,15.86329573,16.66096779,14.77822544,13.38326176,15.56599508,17.23211634,17.40035229,17.83601949
Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.92699154,19.83341605,15.24222717,13.30494595,13.81347993,12.05448258,11.25316078,10.33671591,10.64905703,9.64545713,9.047256851,9.044021836
Serbia and Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbia excluding Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seychelles,,,,,,,,,,,,,,,,9.628008753,9.168356998,8.404773912,7.293475564,6.837243869,7.871990121,6.403635612,7.744989425,6.450706863,5.751514649,6.012929356,5.294075507,4.731675393,4.244686962,4.809109857,4.777536488,3.82676031,4.174132595,4.131088883,4.173208826,3.895688345,3.491659599,2.630181489,3.10068203,3,3,3,3,3,2.364226951,2.279509784,2.143120164,2.016223164,1.826580865,,
Sierra Leone,,,,36.69535004,32.9884106,33.72588832,34.0086546,31.81088314,29.59415584,29.60515967,30.30071745,30.43478261,32.05143056,35.29063456,38.01631378,38.69966697,37.23225806,34.97743216,33.2734663,33.03529312,32.30480648,35.84968331,38.13017688,40.12192848,45.14825706,37.98118249,45,46,46,46.93988124,38.8230222,37.93009013,43.05055698,39.38514054,42.89242734,47.46503158,58.649199,61.80191467,61.96860665,58.36216095,47.07466902,47.80452931,46.72856945,44.90586947,51.56660647,51.08807171,49.86088903,50.20640214,52.3064956,48.96579772,44.38083308
Singapore,,,,,,,,,,,,,,,2.244168562,2.124126479,2.066996114,1.731783624,1.617173595,1.57460655,1.522273536,1.396682267,1.230477475,1.119725454,0.9620526519,0.744798485,0.5782880379,0.4400370888,0.37543485,0.3381820999,0.2638275077,0.2088728698,0.1844880294,0.1869029887,0.1565152063,0.1614101041,0.1431996442,0.1177864154,0.1206237803,0.1004313925,0.09012482627,0.07353347888,0.06390544525,0.05752524197,0.05419844762,0.04781041816,0.04442487634,0.04242931394,0.04139476942,0.03491106236,0.03386982264
Slovak Republic,,,,,,,,,,,,,,,,,,,,,,,,,6.465517576,7.199007375,6.903512509,6.69521239,9.352787091,7.410071881,5.692837035,5.326512111,6.099369046,6.674190143,5.906399333,5.512950633,5.298645732,5.373365074,4.743961212,4.474773304,4.678874854,5.060517079,4.520485264,4.073454374,3.650293483,3.585429684,4.062297444,4.213846849,3.94573344,3.861012407,
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.628365637,5.837465375,5.927360749,5.238720013,4.630358078,4.392580999,4.135692198,4.15061116,3.971283611,3.329087165,3.295756829,3.027813522,3.306001458,2.495621832,2.684116173,2.713408263,2.385873336,2.507475744,2.515667139,2.45537905,2.457258497,
Solomon Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.91132937,46.97434027,49.02992975,48.21740214,47.71400778,44.65607834,41.12456928,41.62342846,37.50115945,35.92681491,34.67779979,24.0140333,30.98258081,39.92300446,37.65155653,34.45556864,35.6536254,44.34413367,41.21920987,38.94106253,,
Somalia,70.81589681,71.67693883,70.66478744,71.18725369,70.53263796,68.78326463,66.29065323,61.50293993,60.54522579,59.37051194,57.45080864,61.57541714,61.23740106,45.61069664,54.17245328,56.31369626,61.00192106,62.93552597,58.65456036,68.41879784,68.28317889,67.72738991,66.42269859,67.90003436,66.75834045,62.36591978,64.17994367,69.32535321,63.59843773,65.45259173,,,,,,,,,,,,,,,,,,,,,
Somaliland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,11.53754976,11.05651818,10.86887182,9.465505213,9.184492214,9.487619515,10.44529954,8.790873205,8.266496826,7.163657504,7.783302894,7.635976498,7.246998185,8.652470171,7.661725634,6.743883216,7.050963076,6.724194328,5.971574702,6.196161295,6.45493198,5.695346682,4.4234041,4.804705026,5.190721044,4.976541713,5.598436248,5.839679801,5.419539792,4.630041762,4.556585647,3.800253638,4.166389603,4.601190015,3.860666569,4.194740453,4.008502012,3.768703469,3.543098869,3.274923749,3.510824368,4.150523085,3.431935247,3.107980482,2.66953686,2.884338356,3.368429275,3.221473083,3.040202162,2.478327176,2.395952225
South Ossetia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,10.9157542,11.47537972,10.82923486,10.54462871,9.875521925,9.705685864,9.170570699,8.961251464,8.766989613,7.752644217,7.24911153,6.250993641,6.337059366,6.222817861,6.529629315,6.18365398,6.019998319,5.993129833,6.08884353,5.646110708,5.564143087,5.192635164,4.58850686,4.84620941,4.815585447,4.503003538,5.092506567,5.014923692,4.862562943,4.469837642,4.386251356,4.26088745,4.017838927,3.960776882,3.617962227,3.201456293,2.791562002,2.875400374,2.65739877,2.667169512,2.710297091,
Sri Lanka,32.41128749,30.61390599,31.82583826,30.48218998,28.20452222,28.30448063,29.6308137,31.15838584,28.87687446,28.30059839,27.09521597,26.34510957,27.29910857,33.16453432,30.35304144,29.01327123,30.68850275,30.46518122,26.94146337,27.55357764,27.70089021,26.3669874,28.2583123,28.66201522,27.68926889,27.09314239,26.96378283,26.33699633,25.62571825,26.31935695,26.75082066,25.8605322,24.6433458,23.76648176,23.01049482,22.43143746,21.87065291,21.10613153,20.66882471,19.89995192,20.05382111,14.27932253,13.23052037,12.54380414,11.81947682,11.33628023,11.68316433,13.37919773,12.69197393,12.79226795,13.6910086
Sudan,55.97712305,55.03303285,49.66679132,46.05564627,45.97388466,38.36079425,38.36546027,36.80898441,39.63931792,43.61860102,44.57015205,44.15799589,44.88487015,44.41777199,40.57144785,38.83927367,39.8901594,38.95202251,35.57462458,32.85805438,36.36577872,36.90239274,33.72528927,30.74932333,33.54043672,36.25104063,32.81369847,41.52093983,39.16960439,40.57701992,41.77936693,40.2693186,41.37502928,35.73142144,38.67450403,43.76211224,46.80178083,46.34830809,45.22697225,41.70707354,42.81543377,42.08515989,38.7643222,35.23349101,31.98474506,30.06069686,28.12599069,26.24972855,29.6900549,23.62894146,27.24568747
Suriname,10.51524711,10.16949153,10.37558685,10.42471042,10.5891126,9.339678763,8.794290084,8.656920968,7.789108266,7.322089675,7.353217032,7.392996109,7.027027746,8.043748439,7.913375102,8.399812295,8.362083671,7.41969415,8.658654923,9.142388794,9.287371561,9.102952309,8.235981308,8.882577526,9.126958746,10.12472487,11.21731488,10.93143899,9.79020979,8.705295259,8.898400541,11.26643368,19.19107392,17.00720459,14.87544342,16.38966131,12.60313829,9.634955072,9.755834389,11.16406799,11.55350933,7.435394233,7.225143939,5.790630852,5.419383854,11.02930128,11.26399568,9.80522355,11.35113104,10.91171431,
Svalbard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,31.00002413,35.40375285,39.57786016,38.08465479,34.65553236,37.40458015,29.0513834,24.17582418,32.54086181,33.1043956,37.07482993,39.98025666,33.33333333,31.76020408,32.91925466,32.44680851,32.09302326,35.49618321,33,22.70803844,22.70803949,20.33970414,17.19872197,21.65998548,20.65300024,22.1678234,16.48416164,16.1082287,15.30023032,10.39501891,11.44563771,8.989804878,10.19160054,13.38736507,12.01311979,14.22359385,12.99060507,13.17838386,13.40284505,12.20090462,10.46754808,10.29951582,9.351780752,8.894907909,8.794712826,7.83497299,7.970969272,7.88708649,8.647677142,7.970969272,7.852477351
Sweden,,,,,,,,,,6.110073989,6.439764962,5.688486822,5.383196735,6.477883924,6.218910437,6.253602931,5.705269741,5.211738382,4.633415524,4.695609015,4.755260917,4.879626957,4.831536237,4.809194753,4.771561334,4.594558805,4.377941313,4.175380697,4.050982461,3.769038277,3.340790185,3.062547388,2.941551396,3.001692879,3.020533989,2.693092411,2.608287531,2.448348747,2.277252497,2.064239898,2.072269771,1.999010988,1.972829361,1.945532957,1.236397175,1.459497632,1.714620464,1.773439863,1.757839811,1.833781323,
Switzerland,,,,,,,,,,,,,,,,,,,,3.464488307,3.341081002,3.325312304,3.352004489,3.534345008,3.288054528,3.163120462,3.156374448,3.162533971,3.13767604,2.938999787,2.690444541,2.501269409,2.286121066,2.114019157,2.054909568,1.85057202,1.775102947,1.724107308,1.578679527,1.607667743,1.406931264,1.393896781,1.31147896,1.397120432,1.267600641,1.198800505,1.209249528,1.256498297,1.186284692,1.124921013,
Syria,,,,,,,,,,,,,,,,,,,,,,,,,21.93774758,24.91649032,26.58875783,31.79281547,24.79884784,29.81274968,32.84003134,34.43728541,32.18284783,31.10085972,31.57512878,29.94585922,27.8801927,30.6050301,25.18055991,23.75023709,27.04020942,26.83239329,25.70256647,21.79926865,19.48961261,19.2248067,17.9391583,16.99767609,22.93219163,,
Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,32.71956252,33.04971688,30.73721335,31.7020949,32.08013883,33.30816848,36.61777291,27.40315638,23.28766328,23.96493502,38.43110896,38.98366917,35.40138691,27.1654788,27.38436098,27.42246936,26.15768123,24.66404864,27.10732634,21.6044211,23.97520072,24.79197438,22.43210923,24.7100439,22.42072326,21.34009623,19.88567838
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.95766349,48.13968975,47.99689636,48.1084265,44.98055591,47.14437784,48.03031606,46.79939742,33.76268592,34.1277112,33.48265835,32.86714119,32.45784134,32.52526417,33.3277215,31.75921358,30.40878228,29.96573466,29.71249828,28.79202556,28.05761485,27.10869608
Thailand,35.83823044,34.00270043,33.06552313,30.63419923,31.92324566,33.40020741,29.24377634,28.68292701,28.68471762,25.91587561,23.92438079,25.33803679,27.69022923,27.00573135,26.87108476,26.69552646,24.78309777,24.49815527,23.9935595,23.23987778,21.35710076,18.54844952,20.06017394,17.57385642,15.8093702,15.6641499,15.73343752,16.1780589,15.07529261,12.49962783,12.6498266,12.29733575,8.658570961,9.088261566,9.505705883,9.501520234,9.44882478,10.77688838,9.391839512,9.023141829,9.134212863,9.434795124,10.40756458,10.30604012,10.26510621,10.76635523,10.67570638,11.56045295,11.46469229,12.38821549,12.36858352
