SIN(s) PROPOSED,SERVICE PROPOSED (e.g. Job Title/Task),MINIMUM EDUCATION/ CERTIFICATION LEVEL,MINIMUM YEARS OF EXPERIENCE,"UNIT OF ISSUE (e.g. Hour, Task, Sq ft)",PRICE OFFERED TO GSA (including IFF),CONTRACT NUMBER,VENDOR NAME,BUSINESS SIZE,SCHEDULE,WORKSITE,CURRENT CONTRACT YEAR,CONTRACT START DATE ,CONTRACT END DATE
132-51,Configuration Management Specialist,Bachelors,3,Hour,$103.50,GS-35F-384BA,Computer Cite ,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Configuration Management Specialist,Bachelors,3,Hour,$90.00,GS-35F-384BA,Computer Cite ,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Technical Editor,Bachelors,3,Hour,$86.25,GS-35F-384BA,Computer Cite ,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Technical Editor,Bachelors,3,Hour,$75.00,GS-35F-384BA,Computer Cite ,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Training Specialist,Bachelors,2,Hour,$98.90,GS-35F-384BA,Computer Cite ,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Training Specialist,Bachelors,2,Hour,$86.00,GS-35F-384BA,Computer Cite ,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Administration/ Clerical,High School,1,Hour,$66.70,GS-35F-384BA,Computer Cite ,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Administration/ Clerical,High School,1,Hour,$58.00,GS-35F-384BA,Computer Cite ,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Subject Matter Expert - 2,Bachelors,10,Hour,$135.47,GS-35F-534BA,"INFLEXION MANAGEMENT SCIENCES, LLC",S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Subject Matter Expert - 3,Master,15,Hour,$197.41,GS-35F-534BA,"INFLEXION MANAGEMENT SCIENCES, LLC",S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Senior Communications Analyst,High School,8,Hour,$74.08,GS-35F-534BA,"INFLEXION MANAGEMENT SCIENCES, LLC",S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Technical Writer/Editor,Bachelors,5,Hour,$98.93,GS-35F-534BA,"INFLEXION MANAGEMENT SCIENCES, LLC",S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Project Manager,Bachelors,5,Hour,$111.85,GS-35F-534BA,"INFLEXION MANAGEMENT SCIENCES, LLC",S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Program Analyst,Bachelors,5,Hour,$84.31,GS-35F-333CA,X CORP SOLUTIONS INC.,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Associate Consultant,Bachelors,5,Hour,$90.36,GS-35F-333CA,X CORP SOLUTIONS INC.,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Lead Analyst,Bachelors,6,Hour,$80.10,GS-35F-333CA,X CORP SOLUTIONS INC.,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Mid Level Analyst,Bachelors,4,Hour,$80.00,GS-35F-333CA,X CORP SOLUTIONS INC.,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Senior SME,Bachelors,5,Hour,$64.36,GS-35F-333CA,X CORP SOLUTIONS INC.,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Business Analyst,Bachelors,5,Hour,$80.26,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Computer Scientist,Bachelors,10,Hour,$148.97,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,"Configuration
 Management Specialist Master",Bachelors,8,Hour,$102.74,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Enterprise Architect,Bachelors,12,Hour,$160.59,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,IT Consultant Level 4,Bachelors,6,Hour,$90.03,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,"Network Specialist
 Master",Bachelors,8,Hour,$93.43,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,"Network Specialist
 Senior",Bachelors,8,Hour,$84.04,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Program Manager,Masters,10,Hour,$145.13,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Senior Consultant,Masters,20,Hour,$174.56,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,"Senior DatabaseCertification, Engineer",Bachelors,8,Hour,$93.39,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,"Subject Matter Expert, Journeyman",High School Diploma,10,Hour,$60.11,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Support Technician,High School Diploma,8,Hour,$49.23,GS-35F-088CA,Advanced Network Consulting,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$186.91,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$189.72,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$192.56,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$195.45,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$198.38,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$211.17,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$214.34,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$217.55,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$220.82,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Program Manager II,Bachelors,5,Hour,$224.13,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$102.14,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$103.67,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$105.23,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$106.81,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$108.41,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$115.40,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$117.13,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$118.89,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$120.67,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Project Manager I,Bachelors,3,Hour,$122.48,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor ,2,5/30/14,5/29/19
132-51,Sr. Management Analyst,Bachelors,5,Hour,$84.87,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,5/30/14,5/29/19
132-51,Sr. Management Analyst,Bachelors,5,Hour,$86.14,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,9/25/14,9/24/19
132-51,Sr. Management Analyst,Bachelors,5,Hour,$87.43,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,9/25/14,9/24/19
132-51,Sr. Management Analyst,Bachelors,5,Hour,$88.74,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,9/25/14,9/24/19
132-51,Sr. Management Analyst,Bachelors,5,Hour,$90.07,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,9/25/14,9/24/19
132-51,Sr. Management Analyst,Bachelors,5,Hour,$95.88,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer ,2,9/25/14,9/24/19
132-51,Sr. Management Analyst,Bachelors,5,Hour,$97.32,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,5/18/15,5/17/20
132-51,Sr. Management Analyst,Bachelors,5,Hour,$98.78,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,5/18/15,5/17/20
132-51,Sr. Management Analyst,Bachelors,5,Hour,$100.26,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,5/18/15,5/17/20
132-51,Sr. Management Analyst,Bachelors,5,Hour,$101.77,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,5/18/15,5/17/20
132-51,Management Analyst,Bachelors,3,Hour,$51.76,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,5/18/15,5/17/20
132-51,Management Analyst,Bachelors,3,Hour,$52.53,GS-35F-334CA,QualX Corporation,,IT Schedule 70,,,,
132-51,Management Analyst,Bachelors,3,Hour,$53.32,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Management Analyst,Bachelors,3,Hour,$54.12,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Management Analyst,Bachelors,3,Hour,$54.93,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Management Analyst,Bachelors,3,Hour,$58.48,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Management Analyst,Bachelors,3,Hour,$59.35,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Management Analyst,Bachelors,3,Hour,$60.24,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Management Analyst,Bachelors,3,Hour,$61.15,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Management Analyst,Bachelors,3,Hour,$62.06,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Database Engineer III,Bachelors,3,Hour,$90.84,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Database Engineer III,Bachelors,3,Hour,$92.21,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Database Engineer III,Bachelors,3,Hour,$93.59,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Database Engineer III,Bachelors,3,Hour,$94.99,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Database Engineer III,Bachelors,3,Hour,$96.42,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,5/18/15,5/17/20
132-51,Database Engineer III,Bachelors,3,Hour,$102.64,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,5/18/15,5/17/20
132-51,Database Engineer III,Bachelors,3,Hour,$104.17,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,5/18/15,5/17/20
132-51,Database Engineer III,Bachelors,3,Hour,$105.74,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,5/18/15,5/17/20
132-51,Database Engineer III,Bachelors,3,Hour,$107.32,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,5/18/15,5/17/20
132-51,Database Engineer III,Bachelors,3,Hour,$108.93,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$50.14,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$50.89,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$51.66,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$52.43,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$53.22,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$56.65,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$57.50,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$58.36,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$59.24,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,5/18/15,5/17/20
132-51,Administrative Specialist I,High School Diploma,1,Hour,$60.13,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$68.64,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$69.67,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$70.71,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$71.77,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$72.85,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$77.54,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$78.71,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$79.89,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$81.09,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,5/18/15,5/17/20
132-51,Service Desk Specialist III,Bachelors,3,Hour,$82.30,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$57.46,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$58.33,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$59.20,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$60.09,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$60.99,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$64.92,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$65.90,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$66.89,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$67.89,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,5/18/15,5/17/20
132-51,Service Desk Specialist II,Bachelors,1,Hour,$68.91,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Network Engineer III,Bachelors,5,Hour,$113.41,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Network Engineer III,Bachelors,5,Hour,$115.11,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Network Engineer III,Bachelors,5,Hour,$116.84,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Network Engineer III,Bachelors,5,Hour,$118.59,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Network Engineer III,Bachelors,5,Hour,$120.37,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Network Engineer III,Bachelors,5,Hour,$128.13,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,12/2/14,12/1/19
132-51,Network Engineer III,Bachelors,5,Hour,$130.05,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,12/2/14,12/1/19
132-51,Network Engineer III,Bachelors,5,Hour,$132.00,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,12/2/14,12/1/19
132-51,Network Engineer III,Bachelors,5,Hour,$133.98,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,12/2/14,12/1/19
132-51,Network Engineer III,Bachelors,5,Hour,$135.99,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Information System Administrator II,Bachelors,5,Hour,$94.09,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Information System Administrator II,Bachelors,5,Hour,$95.51,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Information System Administrator II,Bachelors,5,Hour,$96.94,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Information System Administrator II,Bachelors,5,Hour,$98.39,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Information System Administrator II,Bachelors,5,Hour,$99.87,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Information System Administrator II,Bachelors,5,Hour,$106.31,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,12/2/14,12/1/19
132-51,Information System Administrator II,Bachelors,5,Hour,$107.90,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,12/2/14,12/1/19
132-51,Information System Administrator II,Bachelors,5,Hour,$109.52,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,12/2/14,12/1/19
132-51,Information System Administrator II,Bachelors,5,Hour,$111.16,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,12/2/14,12/1/19
132-51,Information System Administrator II,Bachelors,5,Hour,$112.83,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Information System Administrator I,Bachelors,3,Hour,$72.21,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Information System Administrator I,Bachelors,3,Hour,$73.29,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Information System Administrator I,Bachelors,3,Hour,$74.39,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Information System Administrator I,Bachelors,3,Hour,$75.50,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Information System Administrator I,Bachelors,3,Hour,$76.64,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Information System Administrator I,Bachelors,3,Hour,$81.58,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,12/2/14,12/1/19
132-51,Information System Administrator I,Bachelors,3,Hour,$82.80,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,12/2/14,12/1/19
132-51,Information System Administrator I,Bachelors,3,Hour,$84.04,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,12/2/14,12/1/19
132-51,Information System Administrator I,Bachelors,3,Hour,$85.30,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,12/2/14,12/1/19
132-51,Information System Administrator I,Bachelors,3,Hour,$86.58,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Web Developer III,Bachelors,3,Hour,$70.87,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Web Developer III,Bachelors,3,Hour,$71.93,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Web Developer III,Bachelors,3,Hour,$73.01,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Web Developer III,Bachelors,3,Hour,$74.11,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Web Developer III,Bachelors,3,Hour,$75.22,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Web Developer III,Bachelors,3,Hour,$80.07,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,12/2/14,12/1/19
132-51,Web Developer III,Bachelors,3,Hour,$81.27,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,12/2/14,12/1/19
132-51,Web Developer III,Bachelors,3,Hour,$82.49,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,12/2/14,12/1/19
132-51,Web Developer III,Bachelors,3,Hour,$83.73,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,12/2/14,12/1/19
132-51,Web Developer III,Bachelors,3,Hour,$84.98,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Consultant Staff IV,Bachelors,5,Hour,$75.44,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Consultant Staff IV,Bachelors,5,Hour,$76.57,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Consultant Staff IV,Bachelors,5,Hour,$77.72,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Consultant Staff IV,Bachelors,5,Hour,$78.88,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Consultant Staff IV,Bachelors,5,Hour,$80.07,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Consultant Staff IV,Bachelors,5,Hour,$85.23,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,12/2/14,12/1/19
132-51,Consultant Staff IV,Bachelors,5,Hour,$86.51,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,12/2/14,12/1/19
132-51,Consultant Staff IV,Bachelors,5,Hour,$87.80,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,12/2/14,12/1/19
132-51,Consultant Staff IV,Bachelors,5,Hour,$89.12,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,12/2/14,12/1/19
132-51,Consultant Staff IV,Bachelors,5,Hour,$90.46,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Consultant Staff II,Bachelors,3,Hour,$53.08,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Consultant Staff II,Bachelors,3,Hour,$53.88,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Consultant Staff II,Bachelors,3,Hour,$54.69,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Consultant Staff II,Bachelors,3,Hour,$55.51,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Consultant Staff II,Bachelors,3,Hour,$56.34,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
132-51,Consultant Staff II,Bachelors,3,Hour,$59.97,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,2,12/2/14,12/1/19
132-51,Consultant Staff II,Bachelors,3,Hour,$60.87,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,3,12/2/14,12/1/19
132-51,Consultant Staff II,Bachelors,3,Hour,$61.79,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,4,12/2/14,12/1/19
132-51,Consultant Staff II,Bachelors,3,Hour,$62.71,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,5,12/2/14,12/1/19
132-51,Consultant Staff II,Bachelors,3,Hour,$63.65,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,1,5/18/15,5/17/20
132-51,Database Administrator III,Bachelors,3,Hour,$78.41,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,2,5/18/15,5/17/20
132-51,Database Administrator III,Bachelors,3,Hour,$79.58,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,3,5/18/15,5/17/20
132-51,Database Administrator III,Bachelors,3,Hour,$80.78,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,4,5/18/15,5/17/20
132-51,Database Administrator III,Bachelors,3,Hour,$81.99,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Contractor,5,5/18/15,5/17/20
132-51,Database Administrator III,Bachelors,3,Hour,$83.22,GS-35F-334CA,QualX Corporation,S,IT Schedule 70,Customer,1,12/2/14,12/1/19
